category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Energy,Short Answer,"Researchers at Oak Ridge National Lab are using the supercomputer Summit to train neural networks. When training feedforward neural networks, what step, an application of the chain rule, computes the gradient of the error function with respect to the model’s weights?","BACKPROPAGATION (ACCEPT: BACKPROP) (Note: backpropagation only 
refers to computing the gradient, not updating the weights) ",Short Answer,"Researchers at Brookhaven National Lab are studying microbes in our gut that can decrease the efficacy of the diabetes drug acarbose. What glucose transport are the researchers most likely studying, that is the most heavily involved in diabetes?",GLUT4 (ACCEPT: GLUCOSE TRANSPORTER TYPE 4; ACCEPT: 4),NSBA
Physics,Multiple Choice,"How many up and down quarks, respectively, are present in one alpha particle? W) 3, 3 X) 4, 2 Y) 5, 5 Z) 6, 6","Z) 6, 6 ",Short Answer,What is the torque on a square loop with a side length of 5 meters and a current of 2 amperes when an external perpendicular magnetic field of strength 7 teslas is applied to it?,0,NSBA
Biology,Multiple Choice,"In the trp operon, which of the following best describes the role of tryptophan? W) Operator X) Inducer Y) Repressor Z) Co-repressor",Z) CO-REPRESSOR ,Short Answer,Identify all of the following 3 functions that albumin serves in the human body: 1) Clotting; 2) pH buffering; 3) Osmotic balance.,2 AND 3,NSBA
Math,Short Answer,Four fair 6-sided dice are rolled. What is the probability that the sum of the 4 rolls is divisible by 3?,1/3 ,Short Answer,"Triangle ABC has side-lengths AB = 13, BC = 14, and AC = 15. The altitude extending from A to BC meets line BC at point H. What is the length of BH?",5,NSBA
Earth and Space,Short Answer,"According to the Hubble tuning fork, order the following 3 galaxy types from least to most evolved: 1) Sc; 2) S0; 3) E0.","3, 2, 1 ",Short Answer,"Unlike the basalt-rich lunar maria, the moon’s highlands are primarily composed of what rock?",ANORTHOSITE (DO NOT ACCEPT: ANORTHITE),NSBA
Physics,Short Answer,"A ball is thrown upward from the top of a cliff with a vertical speed of 30 meters per second. It lands on the ground with a vertical speed of 70 meters per second. If g = 10 meters per second squared, then how long does it take for the ball to hit the ground?",10 SECONDS ,Short Answer,What theorem states that local hidden variable theories could not account for the degree of correlations between spins of entangled electrons and was first applied to resolve the EPR paradox?,BELL’S THEOREM (DO NOT ACCEPT: BELL’S INEQUALITY),NSBA
Biology,Short Answer,"In a rod cell with no incoming light, Na+ is attached to what biomolecule that is present in high amounts in the cytosol.",cGMP (ACCEPT: CYCLIC GMP) ,Multiple Choice,"Which of the following fruits is INCORRECTLY paired with its type? W) Strawberry, aggregate X) Pineapple, aggregate Y) Fig, accessory Z) Apple, accessory","X) PINEAPPLE, AGGREGATE",NSBA
Math,Multiple Choice,Multiplication by which of the following numbers is equivalent to a 60 degree counterclockwise rotation about the origin in the complex plane? W) 1/2 - i * sqrt(3)/2 X) sqrt(3)/2 - i/2 Y) 1/2 + i * sqrt(3)/2 Z) sqrt(3)/2 + i/2,Y) 1/2 + i * sqrt(3)/2 ,Short Answer,What is the coefficient of the x3 term in the series expansion of (1 – x)-5 around x = 0?,35,NSBA
Earth and Space,Short Answer,Identify all of the following three sediment types that commonly compose a stream’s suspended load: 1) Silt; 2) Cobble; 3) Pebble.,1 ONLY ,Multiple Choice,The spherical component of the Milky Way is mostly composed of which of the following types of stars? W) Young and low metallicity X) Young and high metallicity Y) Old and low metallicity Z) Old and high metallicity,Y) OLD AND LOW METALLICITY,NSBA
Chemistry,Short Answer,Identify all of the following three molecules that are typically found as network solids. 1) Black Phosphorus; 2) Glucose; 3) Boron nitride.,1 AND 3 ,Short Answer,"When elemental aluminum is treated with hot aqueous alkali, it forms a solution of ions with what hybridization about their central aluminum atom?",sp3,NSBA
Energy,Short Answer,Researchers at Oak Ridge National Lab are studying dinitrophenol and the effects on certain enzymatic activity in cellular energy production. Dinitrophenol does this by allowing electrons to pass through the inner mitochondrial membrane. This allows electrons to skip what enzyme that phosphorylates ADP to form a high-energy compound?,ATP SYNTHASE ,Short Answer,Researchers at Lawrence Berkeley National Lab are studying large-scale hexagonal cyclic carbon flakes to better understand aromatic properties. Identify all of the following 3 compounds that are aromatic: 1) Graphene; 2) Cyclooctatetraenide anion; 3) Imidazole.,ALL,NSBA
Physics,Multiple Choice,Which of the following thermodynamic pairs are NOT conjugate variables? W) Pressure and volume X) Internal energy and number of moles Y) Particle number and chemical potential Z) Temperature and entropy,X) INTERNAL ENERGY AND NUMBER OF MOLES ,Short Answer,What kind of relation relates angular frequency and wavenumber of a wave?,DISPERSION RELATION (ACCEPT: DISPERSION),NSBA
Biology,Multiple Choice,Which of the following hormones would best attach onto a mineralocorticoid receptor? W) Vasopressin X) Aldosterone Y) Insulin Z) Luteinizing hormone,X) ALDOSTERONE ,Short Answer,"In plant cells, the middle lamella is primarily composed of what fiber?",PECTIN,NSBA
Math,Short Answer,"How many points (a, b), where a and b are both integers, have a magnitude of 5?",12 ,Short Answer,"Nic Claxton makes 55% of his free throws. Given that he shoots a total of 11 free throws, and assuming that each free throw is independent of the other free throws, how many times more likely is it that he makes exactly 2 free throws instead of just 1?",55/9 (Note from the writer: “1” was how many he had against the team that would go,NSBA
Earth and Space,Multiple Choice,Which of the following statements about Ganymede is NOT true? W) It is the largest moon of Jupiter X) It is more massive than Mercury Y) It has its own magnetic field Z) It contains a metallic core,X) IT IS MORE MASSIVE THAN MERCURY ,Short Answer,What type of metamorphism occurs without a change in differential pressure?,CONTACT (ACCEPT: THERMAL),NSBA
Chemistry,Short Answer,The dehydration of acetamide leads to the production of what organic compound?,ACETONITRILE ,Short Answer,"A reaction vessel contains hydrogen gas, oxygen gas, and water vapor at chemical equilibrium according to the reaction 2H2 + O2 yields 2H2O. Identify all of the following 3 changes to the reaction vessel that would lead to a greater production of hydrogen gas: 1) Heating the vessel under constant volume; 2) Adding xenon gas under constant pressure; 3) Adding oxygen gas under constant volume.",1 AND 2,NSBA
Energy,Short Answer,"Researchers at SLAC Accelerator are using least square best fit to analyze relativistic data from the acceleration of bottom quarks. If an bottom-quark is traveling at a speed of .6c, what is the Lorentz factor for the bottom-quark?",1.25 ,Short Answer,Researchers at Ames National Lab are studying methyltransferases to learn how we can replicate natural product methyl transfers. What modified amino acid is used in methyltransferases?,"S-ADENOSYLMETHIONINE (ACCEPT: SAM, SAME, ADOMET)",NSBA
Physics,Short Answer,"In the quantum-harmonic oscillator, as the distance from the origin approaches infinity, what value does the wavefunction approach?",0 ,Multiple Choice,"A certain pendulum consists of a ball with mass m attached to a pivot by a massless rope with length L, and its period is 1 second. Consider a second pendulum that consists of a uniform rod of mass m and length L whose end is attached to a pivot. Let T be the period of the second pendulum, in seconds. What is the value of T2? W) 2/3 X) 3/4 Y) 4/3 Z) 3/2",W) 2/3,NSBA
Biology,Multiple Choice,Which of the following organelles would be more abundant in a plasma cell than in a muscle cell? W) Centriole X) Rough Endoplasmic Reticulum Y) Smooth Endoplasmic Reticulum Z) Mitochondrion,X) ROUGH ENDOPLASMIC RETICULUM ,Short Answer,"In the mitochondria, what complex in the electron transport chain is not a proton-pump?",COMPLEX 2,NSBA
Math,Short Answer,How many trailing zeros are in the base 4 representation of the base-10 number 20!,9 ,Multiple Choice,"A circle is inscribed in a regular pentagon, and another circle circumscribes the pentagon. Which of the following expressions is equal to the ratio of the area of the smaller circle tp the area of the larger circle? W) sin2(36o) X) sin2(72o) Y) cos2(36o) Z) cos2(72o)",Y) COS2(36o),NSBA
Earth and Space,Short Answer,Identify all of the following three locations at which an earthquake could occur. 1) Convergent boundary; 2) Transform boundary; 3) Plate interior.,ALL ,Multiple Choice,Which of the following best describes why Rigel has a much smaller proper motion than Vega? W) Rigel is more luminous X) Rigel is further from Earth Y) Rigel travels directly towards and away from Earth Z) Rigel has a larger diameter than Vega,X) RIGEL IS FURTHER FROM EARTH,NSBA
Chemistry,Multiple Choice,Which of the following elements would produce a red flame test? W) Aluminum X) Rubidium Y) Barium Z) Sodium,X) RUBIDIUM ,Short Answer,Order the following three carbocations by increasing stability. 1) Primary; 2) Secondary; 3) Allylic,"1, 2, 3",NSBA
Energy,Multiple Choice,Researchers at Ames National Lab are studying the use of chiral catalysts to create clean yields of inverted stereocenters in the synthesis of natural products. Which of the following substitution reactions would they most likely be studying? W) Sn1 X) Sn2 Y) Snar Z) SnL,X) SN2 ,Short Answer,Researchers at Pacific Northwest National Lab are studying protein rotation to create new materials made out of proteins and minerals using random simulations. What type of algorithm uses random sampling to calculate an answer that has a high probability of being correct?,MONTE CARLO,NSBA
Physics,Short Answer,"Below the yield point, a plot of stress vs. strain is a straight line whose slope is equal to what quantity?",YOUNG’S MODULUS ,Short Answer,"Identify all of the following 3 statements that are true about type 1 and type 2 superconductors: 1) Type 1 superconductors are typically used for superconducting magnets; 2) Ginzburg-Landau theory cannot be applied to Type 2 superconductors; 3) In type 2 superconductors, plots of magnetization vs applied magnetic field are linear below the critical temperature.",NONE,NSBA
Biology,Multiple Choice,A patient who takes mass amounts of cobalamin but still shows no signs of healthy cobalamin levels most likely is infected from which of the following phylum? W) Trypanosoma X) Pseudomonas Y) Platyhelminthes Z) Annelid,Y) PLATYHELMINTHES ,Short Answer,Identify all of the following three proteins whose overactivation or overexpression could result in cancer: 1) Ras; 2) p53; 3) Her2,1 AND 3,NSBA
Math,Multiple Choice,The area of a right triangle with integer side lengths is always divisible by which of the following numbers? W) 4 X) 5 Y) 6 Z) 7,Y) 6 ,Short Answer,"A recursive sequence an has a0 = 3, an = an-1 + 2an-2, and a5 = 85. What is the value of a1?","5 (Note: the sequence is 3, 5, 11, 21, 43, 85…)",NSBA
Earth and Space,Multiple Choice,What is the complete spectral classification of the sun? W) B9 X) A5 Y) F4 Z) G2,Z) G2 ,Short Answer,Identify all of the following three features that are formed by ductile deformation. 1) Folds; 2) Synclines; 3) Anticlines.,ALL,NSBA
Physics,Multiple Choice,"Two points with charges of a and b are located at x = 0 and x = 5. Which of the following values of a and b would NOT result in a point on the x-axis with zero electric field? W) a = -2, b = -1 X) a = -2, b = 2 Y) a = 3, b = -5 Z) a = 4, b = 4","X) a = -2, b = 2 ",Short Answer,"What particle, the most common type of charmonium, consists of a charm quark and a charm antiquark?",J/PSI MESON (ACCEPT: J/PSI),NSBA
Biology,Short Answer,"In the cells of human females, what small densely staining structure is formed as a result of dosage compensation?",BARR BODY ,Multiple Choice,Which of the following cellular events is NOT likely to involve lipid rafts? W) Antigen receptor signaling X) Viral entry Y) E.R. vesicle formation Z) Acrosome reaction,Y) E.R. VESICLE FORMATION,NSBA
Math,Short Answer,a and b are positive integers such that a + b = 37. Identify all of the following 4 options that could be the greatest common divisor of a and b: 1) 1; 2) 2; 3) 3; 4) 5.,1 ONLY ,Short Answer,"You’re playing a coin game where you repeatedly flip a fair coin until you get tails. You win 1 dollar for each time the coin lands on heads. If it is possible to win 0 dollars, then what are your expected earnings?",1,NSBA
Chemistry,Short Answer,"At standard temperature and pressure, identify all of the following three gases in which intermolecular attractions are dominant over repulsions: 1) Sulfur hexafluoride; 2) Ethane; 3) Hydrogen.",1 AND 2 ,Short Answer,Rank the following 3 elements in order of increasing electron affinity: 1) Argon; 2) Oxygen; 3) Sulfur.,"1, 2, 3",NSBA
Energy,Short Answer,"Researchers at Los Alamos National Lab are studying biphasic sleep models and the effects on abnormal circadian rhythms. In the hypothalamus, what part of the brain is responsible for the regulation of our circadian rhythms?",SUPRACHIASMATIC NUCLEUS (ACCEPT: SCN) ,Short Answer,"Researchers at Lawrence Berkeley National Lab are studying distributed adaptive prefix trees, a type of binary search tree, in the use of functional storage in high performance computing. Given a binary search tree with 32 nodes, and assuming that a tree with 1 node has a height of 1, what is the height of a balanced BST and the height of an unbalanced worst case BST?",6 AND 32,NSBA
Physics,Short Answer,"In the Bohr model of the atom, the angular momentum of an electron is equal to its principal quantum number times what constant?","REDUCED PLANCK CONSTANT (ACCEPT: H-BAR; DO NOT ACCEPT: 
PLANCK’S CONSTANT, h) ",Multiple Choice,"Which of the following circuit components, when combined with a resistor, would form the most effective high-pass filter? W) Op-amp X) Diode Y) Inductor Z) Capacitor",Z) CAPACITOR,NSBA
Biology,Short Answer,"MRNA transcripts most commonly bind to one ribosome’s initiation complex. However, sometimes mRNA transcripts can bind to multiple ribosomes at once. What term is given to this string of ribosomes that actively participates in translation?",POLYSOME (ACCEPT: POLYRIBOSOME) ,Multiple Choice,Which of the following cytoskeletal motors transports cargo inward toward the nucleus? W) Dynein X) Kinesin Y) Myosin Z) Prestin,W) DYNEIN,NSBA
Math,Short Answer,What is the smallest four digit number contained in Pascal's triangle?,1000 ,Short Answer,"How many integers between 1 and 30 inclusive, are divisible by each of their digits?",14,NSBA
Earth and Space,Short Answer,Identify all of the following 4 elements that are considered metals in astronomy: 1) Hydrogen; 2) Helium; 3) Carbon; 4) Neon.,3 AND 4 ,Short Answer,Identify all of the following three stars that have convective currents that reach the core: 1) The Sun; 2) Proxima Centauri; 3) Rigel.,"2, 3",NSBA
Chemistry,Short Answer,What is the oxidation state of the carbon atom in formic acid?,+2 (DO NOT ACCEPT: 2) ,Short Answer,Identify all of the following 3 elements that experience sp- mixing in their diatomic form: 1) Lithium; 2) Boron; 3) Carbon.,ALL,NSBA
Energy,Short Answer,"Researchers at Pacific Northwest National Lab are studying phase changes of Helium-4 to better understand solar conditions. Helium-4 is special because it is missing what point on its phase diagram where the solid/liquid, solid/gas, and liquid/gas equilibrium lines intersect?",TRIPLE POINT ,Short Answer,"Researchers at SLAC are using stimulated emissions in order to create an afterburn-based particle accelerator. They are using what SPECIFIC type of device found in atomic clocks, which was invented by Charles Townes?",MASER (PROMPT ON: LASER),NSBA
Physics,Short Answer,"Water is flowing through a cylindrical hose with a radius of 3 centimeters at a speed of 3 meters per second. If the hose then narrows to a radius of 1 centimeter, then at what speed will the water flow?",27 METERS PER SECOND ,Short Answer,"Alice is traveling at a speed of 0.75c. Alice launches a projectile which moves at a speed of 0.25c relative to Alice. What is the smallest possible relative speed between Alice and the projectile that an outside observer can observe, in terms of c?",8c/13,NSBA
Biology,Short Answer,Identify all of the following 3 processes that are associated with senescence: 1) Shrinking of the nucleus; 2) Mitochondrial dysfunction; 3) Increased DNA methylation.,2 AND 3 ,Short Answer,What two protein complexes translocate proteins across the chloroplast membrane?,TIC/TOC,NSBA
Math,Short Answer,How many positive 2 digit integers have a smaller ones-digit than tens-digit?,45 ,Short Answer,"On a 10 x 10 checkerboard, a Knight moves by going 2 units in one direction and then 1 unit perpendicular. What is the maximum number of knights you can place on this board such that no two knight attack each other?",50,NSBA
Earth and Space,Short Answer,Order the following three steps of sedimentary rock formation chronologically. 1) Compaction; 2) Cementation; 3) Deposition.,"3, 1, 2 ",Short Answer,What is the name given to the groundwater structure formed when groundwater accumulates on an aquitard above the zone of saturation?,PERCHED WATER TABLE (ACCEPT: PERCHED AQUIFER),NSBA
Chemistry,Short Answer,"Given that the half-life of a first order reaction is 21 seconds, then in inverse seconds and to 1 significant figure, what is the rate constant for the reaction?",0.03 ,Multiple Choice,Which of the following elements has the closest molar mass to that of boron trifluoride? W) Calcium X) Manganese Y) Nickel Z) Gallium,Z) GALLIUM,NSBA
Energy,Multiple Choice,Researchers at Oak Ridge national lab are improving on electrolysis by introducing methods to account for overpotential. Which of the following statements is NOT TRUE regarding electrolytic cells? W) The anode is labeled negative and the cathode is labeled positive X) Electrolytic cells have a Gibbs Free,"W) THE ANODE IS LABELED NEGATIVE AND THE CATHODE IS LABELED 
POSITIVE ",Short Answer,Researchers at Lawrence Berkeley National Lab are using plants in attempts to find a cheaper and environmentally friendly method to produce salicylate. Identify all of the following 3 natural products that salicylate inhibits the production of: 1) Urea; 2) Thromboxane; 3) Prostaglandin.,2 AND 3,NSBA
Physics,Multiple Choice,"A 2-kilogram ball has a kinetic energy of 50 joules and is moving to the right. Later, the ball is moving upward with a kinetic energy of 50 joules. In kilogram-meters per second, what is the change in momentum of the ball? W) 5 root 2 X) 10 Y) 10 root 2 Z) 20",Z) 20 ,Short Answer,"Consider a particle in a box, where the region of 0 potential ranges from 0 < x < 1 meter. Identify all of the following 4 values of n such that the probability density of finding a particle at position x = 1/4 is 0: 1) 1; 2) 2; 3) 3; 4) 4.",4 ONLY,NSBA
Biology,Multiple Choice,David Jiang went out to play basketball without insurance. While playing he sprained his ankle and is in pain. This would lead to the activation of which of the following types of receptors? W) Proprioceptor X) Baroreceptor Y) Thermoceptor Z) Nociceptor,Z) NOCICEPTOR ,Short Answer,Order the following three compounds in order that they are formed in the citric acid cycle starting from citrate: 1) Fumurate; 2) Malate; 3) alpha- Ketoglutarate.,"3, 1, 2",NSBA
Math,Multiple Choice,What is the sum of all the positive integer factors of 36? W) 96 X) 91 Y) 90 Z) 60,X) 91 ,Short Answer,"A regular hexagon has unit side length, and an equilateral triangle is formed by connecting the midpoints of alternating sides of that hexagon. What is the area of that triangle?",9 ROOT 3 OVER 16,NSBA
Earth and Space,Multiple Choice,Which of the following terrestrial planets has the highest density? W) Mercury X) Venus Y) Earth Z) Mars,Y) EARTH ,Short Answer,What is the term for the collection of rock fragments that accumulate at the base of a cliff due to friction and collisions from rockfall?,TALUS (ACCEPT: SCREE),NSBA
Physics,Short Answer,Identify all of the following three quantities that are conserved in an inelastic collision: 1) Linear momentum; 2) Angular momentum; 3) Velocity of center of mass.,ALL ,Short Answer,"A block is moving in a horizontal circle on a frictionless banked curve of radius 30 meters. The block is traveling at a speed of 20 meters per second. What is the angle of the incline, to the nearest 10 degrees?",50 DEGREES (Note: arctan(202/30 * 9.8) ≈ arctan(4/3) ≈ 53°),NSBA
Biology,Multiple Choice,Which of the following is NOT a contributing factor of RNA’s catalytic abilities? W) RNA molecules can hydrogen bond with other nucleic acids allowing for specificity. X) The bases in RNA molecules act as functional groups in catalysis. Y) The phosphate ions of an RNA molecule allow for catalytic stability in different environments. Z) A region of the RNA molecule can base pair with itself.,"Y) THE PHOSPHATE IONS OF AN RNA MOLECULE ALLOW FOR 
CATALYTIC STABILITY IN DIFFERENT ENVIRONMENTS ",Short Answer,Identify all of the following three organisms which are pseudocoelomates: 1) Earthworms; 2) Roundworms; 3) Planarians.,2 ONLY,NSBA
Math,Short Answer,"A particular dice has 8 sides, each with a ⅛ probability of landing face-up. What is the probability that when three dice are rolled, exactly two dice roll a prime?",3/8 ,Short Answer,"What is the area of a triangle in the coordinate plane with vertices at (0, 0), (4, 6), and (13, 1)?",37,NSBA
Earth and Space,Multiple Choice,"Which of the following best describes the keplerian and observed orbital velocity in a galaxy, respectively, as distance from the center of the galaxy increases? W) Decreases, Decreases X) Decreases, Increases Y) Increases, Decreases Z) Increases, Increases","X) DECREASES, INCREASES ",Short Answer,"A blue metamorphic mineral is extracted from a sample of pegmatite, and is heated to 800 degrees Celsius. What aluminosilicate polymorph is most likely to be formed?",SILLIMANITE,NSBA
Chemistry,Multiple Choice,Which of the following elements has the lowest residual entropy at absolute zero? W) Silicon X) Phosphorus Y) Sulfur Z) Bromine,X) PHOSPHORUS ,Short Answer,Identify all of the following groups that can be used to protect an alcohol. 1) OTMS; 2) Fmoc; 3) t-BOC.,1 ONLY,NSBA
Energy,Multiple Choice,Researchers at Lawrence Berkeley National Lab are detecting and mapping seed plant mitochondrial DNA in order to reconstruct plant phylogeny. Which of the following laboratory techniques is most likely being used? W) Northern Blot X) Eastern Blot Y) Southern Blot Z) Western Blot,Y) SOUTHERN BLOT ,Multiple Choice,Researchers at Ames National Lab are revisiting the mechanism for EAS reactions after new computational methods have shown that the sigma complex in certain conditions might not be formed. Which of the following compounds would be the least reactive in EAS? W) Methyl benzene X) Methoxy benzene Y) Acetophenone Z) Bromobenzene,Y) ACETOPHENONE,NSBA
Physics,Short Answer,Identify all of the following 3 options that could be the shape of the orbit of an object with a negative mechanical energy: 1) Circle; 2) Parabola; 3) Hyperbola.,1 ONLY ,Short Answer,"An RC circuit consists of a 10 farad capacitor and two resistors in parallel, one of which has twice the resistance of the other. The circuit is completed, and it takes 35 seconds for the capacitor to reach half its maximum charge. To two significant figures, what is the resistance, in ohms, of the higher resistance resistor?",15,NSBA
Biology,Short Answer,Identify all of the following 3 deoxynucleotide triphosphates that can be used in Next-Generation Sequencing: 1) dATP; 2) dCTP; 3) dGTP.,ALL ,Multiple Choice,Which of the following glutamate receptors are blocked by a magnesium ion? W) AMPA X) Kainate Y) NMDA Z) mGluR,Y) NMDA,NSBA
Math,Multiple Choice,Which of the following statements is NOT true about the function f(x) = x + sin(x)? W) It has infinitely many local minima X) It has infinitely many critical points Y) It has infinitely many inflection points Z) It is monotonically non-decreasing,W) IT HAS INFINITELY MANY LOCAL MINIMA ,Short Answer,How many quadratics with leading coefficient 1 have two distinct integer roots between -10 and 10 inclusive?,210,NSBA
Earth and Space,Short Answer,What type of unconformity represents a gap in the rock record in which erosion occurred rather than deposition?,DISCONFORMITY ,Multiple Choice,"Which of the following types of objects, as observed from Earth, would be the LEAST likely to be observed at low redshifts? W) Quasar X) Blazar Y) Supermassive black hole Z) Seyfert galaxy",W) QUASAR,NSBA
Chemistry,Short Answer,"When chlorine reacts with water under high temperature basic conditions, what is the molar ratio of the two chlorine species formed?",5 (ACCEPT: 1-TO-5) ,Short Answer,Identify all of the following three statements that are true about tetrahedral and octahedral coordination complexes. 1) Tetrahedral complexes are almost invariably high spin; 2) Tetrahedral complexes have a higher splitting than octahedral complexes; 3) Strong field ligands generally produce high-spin complexes.,1 ONLY,NSBA
Energy,Short Answer,Researchers at SLAC are working with Caltech to study the deflection patterns of baryons and heavy mesons. Identify all of the following 3 integer charges that a meson could have: 1) -1; 2) 0; 3) +1.,ALL ,Short Answer,Researchers at Lawrence Berkeley National Lab are computing High Performance Multigrid using parallel list traversals. Order the following 3 lists in increasing order of average random-access time of an element: 1) Array List; 2) Singly Linked List; 3) Double Linked List.,"1, 3, 2",NSBA
Physics,Short Answer,"General relativity predicts that orbits around massive objects follow what paths, which are generalizations of straight lines to Riemann manifolds?",GEODESIC (DO NOT ACCEPT: WORLD LINE) ,Short Answer,Identify all of the following four properties that are necessarily conserved as a light ray refracts: 1) Frequency; 2) Wavelength; 3) Phase; 4) Polarization.,1 AND 3,NSBA
Biology,Multiple Choice,Which of the following situations would cause a photosynthetic plant cell to act as a sucrose sink? W) When it is growing X) When it is humid Y) When it is bright Z) When it is dying,W) WHEN IT IS GROWING ,Short Answer,What 2 sections of the heart prevent the backflow of the blood during systole in the semilunar valve?,AORTA AND PULMONARY ARTERY,NSBA
Math,Short Answer,What is the surface area of a cube whose space diagonal is 1?,2 ,Short Answer,"In a 5 by 5 grid of squares, if each square can be black or white, how many ways are there to color the grid such that it has 4 fold rotational symmetry?",128,NSBA
Earth and Space,Short Answer,Order the following 3 components of the interstellar medium by increasing temperature: 1) Reflection nebula; 2) Molecular cloud; 3) H II region.,"2, 1, 3 ",Short Answer,Identify all of the following 3 statements that are true of Charon’s orbit around Pluto: 1) It is highly eccentric; 2) It has a retrograde rotation; 3) Its orbit is retrograde.,2 AND 3,NSBA
Chemistry,Short Answer,Rank the following 3 chemical bonds in order of increasing ionic character: 1) Rb-Cl; 2) Ca-Cl; 3) Ca-Br,"3, 2, 1 ",Short Answer,"How many distinct H1-NMR signals exist for 2,4- diethylbenzoic acid?",8,NSBA
Energy,Multiple Choice,"Researchers at Lawrence Berkeley National Lab are working with the Joint Genome Institute to produce a more cost effective genome assembly process. Which of the following is the main advantage of shotgun sequencing over Sanger sequencing? W) The temperature required to denature in Sanger sequencing is too high and volatile, while shotgun sequencing allows for more control over the temperature. X) Sanger sequencing uses Taq polymerase which is difficult to extract, while shotgun sequencing uses coli DNA polymerase 1 which is easily extracted from e. coli. Y) Sanger sequencing produces a significant amount of unusable products which must be dealt with, while shotgun sequencing degrades the products in vitro. Z) Sanger sequencing can only sequence 100-1000 base pairs, while shotgun sequencing could do significantly more.","Z) SANGER SEQUENCING COULD ONLY SEQUENCE 100-1000 BASE 
PAIRS, WHILE SHOTGUN SEQUENCING COULD DO MUCH MORE. ",Short Answer,"Researchers at Pacific Northwest National Lab are investigating ways to store adsorbed xenon in space. They are trying to use what class of materials, which are porous coordination polymers that typically use boron and nitrogen linked together with their namesake bonds?",COVALENT ORGANIC FRAMEWORKS,NSBA
Physics,Short Answer,"To the nearest 10 volts, what is the peak voltage of a AC wave with a root mean square voltage of 120 volts?",170 ,Multiple Choice,A block is attached to a frictionless ideal spring centered at x = 0. The spring oscillates between x = –1 and x = 1. At which of the following x values does the block experience the most power? W) 0.2 X) 0.5 Y) 0.7 Z) 1,Y) 0.7,NSBA
Biology,Short Answer,"During DNA replication, what section is formed on the lagging strand by DNA polymerase III, that will later be removed by DNA ligase?",OKAZAKI FRAGMENTS ,Multiple Choice,Which of the following bacteria has the LEAST amount of inhibition of peptidoglycan cross-linking from penicillin? W) Helicobacter pylori X) Streptococcus pneumoniae Y) Mycobacterium tuberculosis Z) Staphylococcus aureus,W) HELICOBACTER PYLORI,NSBA
Math,Multiple Choice,Which of the following is closest to the argument in degrees of the complex number 5 + 12i? W) 30 X) 50 Y) 70 Z) 90,Y) 70 ,Short Answer,"A spiral staircase has a radius of 6 meters and makes 3 total revolutions. If the staircase rises 3pi meters in total, then what is the length of the staircase?",3 PI ROOT 145,NSBA
Earth and Space,Multiple Choice,Mylonite is a fine-grained foliated rock that is a product of which of the following types of metamorphism? W) Shock X) Cataclastic Y) Contact Z) Regional,X) CATACLASTIC ,Short Answer,"In Oxisol soils, identify all of the following three components that are likely to be left as a residue after rainfall: 1) Gibbsite; 2) Hematite; 3) Calcite.",1 AND 2,NSBA
Physics,Short Answer,"If 0.6 joules of work are required to compress a spring from its equilibrium position by 20 centimeters, then what is the spring constant of the spring, in newtons per meter?",30 ,Short Answer,Identify all of the following 3 interactions that an electron antineutrino can experience: 1) Electromagnetic; 2) Weak; 3) Gravity.,2 AND 3,NSBA
Biology,Multiple Choice,Which of the following proteins is LEAST involved in coagulation? W) Spectrin X) Plasmin Y) Thrombin Z) Fibrin,W) SPECTRIN ,Short Answer,Order the following 3 layers of the skin in terms of increasing absorbance of UV-B light: 1) Dermis; 2) Epidermis; 3) Hypodermis.,"2, 1, 3",NSBA
Math,Short Answer,What is the determinant of a 3x3 matrix whose entries are all equal to 5?,0 ,Multiple Choice,"Which of the following polar coordinates would have the greatest y-value in rectangular coordinates? W) (10, π/2) X) (12, π/3) Y) (15, π) Z) (20, 2π)","X) (12, π/3)",NSBA
Earth and Space,Multiple Choice,Which of the following minerals is a nesosilicate? W) Augite X) Zircon Y) Kaolinite Z) Albite,X) ZIRCON ,Short Answer,What is the name given to the gradient between shallow and deep water salinities?,HALOCLINE,NSBA
Chemistry,Short Answer,What is the molecular geometry of XeOF4?,SQUARE PYRAMIDAL ,Short Answer,Identify all of the following 3 chemical species that can oxidize silver metal: 1) Br2; 2) Ce4+; 3) Au+.,ALL,NSBA
Energy,Short Answer,"A researcher at Oak Ridge National Lab named Candice is studying atomic-scale interactions in thin films using a liquid’s reflectometer. The reflectometer uses molecular hydrogen kept at temperatures and pressures above its critical point, forming what kind of substance?",SUPERCRITICAL FLUID ,Multiple Choice,Researchers at Oak Ridge National Lab are studying uranyl complexation by binding it with molecules that have low polarizability and high charge densities. They do this using non-metallic hard base molecules. Which of the following molecules is a hard base? W) BF3 X) SO3 Y) NH3 Z) SCN-,Y) NH3,NSBA
Physics,Short Answer,"At sufficiently large wavelengths, Planck’s law for blackbody radiation tends towards what other law?",RAYLEIGH-JEANS LAW ,Short Answer,"What is the moment of inertia about the axis passing through the center of a spherical shell, with a density of 6 kilograms per meter squared, with a radius of 4 meters?",4096π,NSBA
