category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Physics,Short Answer,"Consider a planet orbiting around a star. If the angular momentum vector of this planet is pointing in the positive Z direction, in what direction would the angular momentum vector be pointing if the system was mirrored along the XY plane? ",Positive Z,Multiple Choice,"When considering cycles like the Otto and Brayton cycle, the assumption is made that the exhausted air is automatically returned to its initial state and fed back into the intake. This assumption is made to satisfy what requirement of thermodynamic cycles? W) No net change in entropy X) Ideal gas working fluid Y) Closed system Z) Uniform working fluid",,ESBOT
Math,Short Answer,"Identify all of the following 3 numbers that are not prime. I) 7,749 II) 33,549 III) 13,625 ",All,Short Answer,"Rishil and Nikhil want to choose 3 more people to make up their 5-person ESBOT team; however, 40 people, including Colin, have requested to be on the team. With Nikhil reluctantly agreeing, Rishil decides to choose the other 3 people randomly. What is the probability that Colin is chosen to be on the team?",,ESBOT
Chemistry,Short Answer,What species is formed by the dissolution of gold in Aqua Regia? ,"AuCl4
- (ACCEPT: tetrachloroaurate)",Multiple Choice,"According to Markovnikov’s rule, which of the following locations in a compound would be most favorable for addition reactions to add onto? W) The least substituted carbon X) The most substituted carbon Y) The carbon with the highest formal charge Z) The carbon with the lowest formal charge",,ESBOT
Biology,Short Answer,How many histone proteins are found in a nucleosome? ,8,Short Answer,Sanger sequencing uses what modified form of a nucleotide that terminates a growing DNA chain?,,ESBOT
Energy,Short Answer,Department of ,Neutrino,Short Answer,"Scientists at Argonne National Laboratory are studying the mechanisms of DNA replication in an alien species. Assuming the scientists followed the same experimental setup as the Messelson-Stahl experiment, if half the DNA double helices are heavy and half are light after one round of replication, what mode of replication does this species exhibit?",,ESBOT
Math,Short Answer,What is the name of the diagram that shows all possible logical relations between a finite collection of sets? ,Venn Diagram,Short Answer,"On the Enloe Science Bowl Tryouts 10% of the students got 10 points, 60% of the students got 9 points and 30% of the students got 7 points. What is the difference between the mean and median scores on the tryouts? W) 0 X) 0.5 Y) 1 Z) 1.5",,ESBOT
Physics,Short Answer,An ideal fluid is flowing along a pipe. It starts in a tube of cross sectional area 140 cm2 moving at a velocity of 60 m/s. The pipe enlarges to 350 cm2. What is the new velocity of the fluid in meters per second? ,24,Short Answer,"Brian drops a ball off of a tall building on a mystery planet. Giving your answer in exact form, if the ball takes 2 seconds to fall 20 meters after it is dropped, how long in seconds will it take to fall 100 meters?",,ESBOT
Biology,Short Answer,What cytoskeletal element makes up the nuclear lamina in cells? ,Intermediate filaments,Short Answer,Order the following 4 taxonomic classifications from least to most specific: 1) Chordata 2) Suidae 3) Artiodactyla 4) Sus,,ESBOT
Earth and Space,Short Answer,"The stars Deneb, Altair, and Vega form what astronomical asterism that appears in the Northern sky during summer? ",Summer Triangle,Multiple Choice,Order the following 4 stages in the Sun’s star cycle from earliest to latest: 1) Main Sequence 2) Hayashi Track 3) Red Giant 4) White Dwarf,,ESBOT
Physics,Short Answer,A car is traveling around a circular track. It takes 10 seconds for the car to travel from its starting position around the track to 5 meters behind its starting position. What is the average velocity of the car during this time? ,0.5 m/s (ACCEPT: -0.5 m/s),Multiple Choice,"Colin throws a hammer into the air, imparting it with some angular momentum as it leaves his hand. Neglecting air resistance, which of the following is true of the angular speed of the hammer as it travels through the air? W) It decreases to a finite value X) It decreases to zero Y) It increases without bound Z) It remains the same",,ESBOT
Math,Short Answer,"How many numbers are there in the list of perfect squares from 49 to 961, inclusive? ",25,Short Answer,How many different factors does the number 1296 have?,,ESBOT
Chemistry,Short Answer,What law relates the mass of gas particles with their rate of diffusion? ,Graham’s Law,Short Answer,What is the name of the remaining substance in solution after a crystallization or centrifugation?,,ESBOT
Earth and Space,Short Answer,Identify all of the following 3 stratigraphic formations which result from compressional forces: I) Monocline II) Angular Unconformity III) Nonconformity ,I and II,Multiple Choice,Which of the following rocks is most mafic? W) Scoria X) Tuff Y) Granite Z) Andesite,,ESBOT
Physics,Short Answer,"Nikhil the chemistry main has decided to learn physics. He is confused why gravity and the spring force have potential energy, but the friction force doesn’t. What property of a force causes it to have a potential energy associated with it? ",Conservative (ACCEPT: Path independent),Multiple Choice,In which of the following cases would the application of Faraday's law be most appropriate? W) An electron moving through a magnetic field X) A magnet dropped through a metal coil Y) A charge moving parallel to a wire Z) A magnet spinning around its central axis in free space,,ESBOT
Chemistry,Short Answer,Concentrated solutions of Mn2+ appear as what color? ,Pink (accept light pink/purple),Multiple Choice,"Nikhil wants to perform the titration of a weak acid with sodium hydroxide. After preparing the solid sodium hydroxide, he decides to take a break and play the hit game “Genshin Impact,” after which he returns and completes the titration. Knowing that sodium hydroxide is hygroscopic, how will his calculation for the concentration of the weak acid deviate from its true value? W) His calculated value will be higher than the true value X) His calculated value will be lower than the true value Y) His calculated value will be the same as the true value Z) There is not enough information to determine the error",,ESBOT
Math,Short Answer,"Rohit biked from home to school at an average speed of x miles per hour. However, his bike was stolen by Colin, so Rohit walked home at a speed of 3 miles per hour. If his overall average speed was 5 mph, then what is the value of x? ",15 mph,Short Answer,What is the distance between a circumcenter and incenter of an equilateral triangle of side length 6?,,ESBOT
Earth and Space,Short Answer,What is the limit on the mass of a neutron star at which the star would collapse under its own mass? ,"Tollman-Oppenheimer-Volkoff limit, TOV limit",Short Answer,"Sukrith and Brian are chilling on the surface of Ceres and decide they want to start counting their age in Ceres years. Ceres orbits 2.8 AU from the sun. If they are celebrating their first Ceres birthday today, to one significant figure, in how many Earth years will they be able to celebrate their second Ceres birthday?",,ESBOT
Chemistry,Short Answer,Order the following 4 compounds in increasing order by number of carbons: 1) Cyclopentane 2) Acetic acid 3) Propanol 4) Formaldehyde ,"4, 2, 3, 1",Short Answer,Order the following 4 elements from highest to lowest placement on the periodic table: 1) Potassium 2) Silicon 3) Barium 4) Indium,,ESBOT
Energy,Short Answer,Researchers at Lawrence Livermore National Laboratory were experimenting with the ability of mice blood to clot upon injection of buckminsterfullerene. Which of the following materials are these structures made out of? W) Fluorine X) Oxygen Y) Carbon Z) Nitrogen ,Y) Carbon,Short Answer,Researchers at Sandia National Laboratory are studying the effects of greenhouse gases on the environment and human body. Identify all of the following 4 compounds that are considered to be greenhouse gases: I) Carbon Dioxide II) Nitrous Oxide III) Hydrogen Chloride IV) Sulfur Hexafluoride,,ESBOT
Math,Short Answer,What is the derivative with respect to x of the integral from 0 to x2 of 2t2 with respect to t? ,4x5,Short Answer,"Given quadrilateral ABCD with AB=7, BC=24, CD=15, DA=20, and AC=25, what is the area of ABCD?",,ESBOT
Earth and Space,Short Answer,Order the following 3 minerals from lowest to highest boiling point: 1) Olivine 2) Muscovite 3) Biotite. ,"2, 3, 1",Short Answer,What variety of limestone makes up speleothems [spee-leo-thems]?,,ESBOT
Chemistry,Short Answer,"Taking the logarithm of the equation that defines Ka or Kb yields what equation, commonly used to calculate the pH of a buffer solution? ",Henderson-Hasselbalch Equation,Short Answer,Identify all of the following 3 sets of compounds that can form a buffer solution when added to water: I) CaF2 and HF II) NaOH and NaCl III) Al(OH)4 - and NH3,,ESBOT
Earth and Space,Short Answer,What process dominates precipitation formation in nimbostratus clouds? ,Collision Coalescence Process,Short Answer,What type of moraine [mor-ain] is formed when two glaciers come together?,,ESBOT
Energy,Short Answer,Researchers at SLAC National Accelerator Laboratory are using their Linear Accelerator to study collisions between subatomic particles. Their Linear Accelerator uses oscillating electric potentials to accelerate electrons to nearly the speed of light. What is the name of the force exerted on a moving charged particle in an electromagnetic field? ,Lorentz Force,Short Answer,Researchers in the Idaho National Laboratory are studying Rishil’s belly. They find a surge in the amount of lipoproteins in his intestine. What is the name of the ball-like structures made up of triglycerides and phospholipids that are processed through the digestive system?,,ESBOT
Chemistry,Short Answer,"For the theoretical reaction A + 3B → 4C [READ: A plus 3 B yields 4 C], what is the ratio of the rate of disappearance of A to the rate of appearance of C? ",1/4,Short Answer,Order the following four decay processes of Gold-198 from least to greatest final atomic mass: 1) Two alpha decays 2) Alpha decay followed by neutron capture 3) Beta plus decay followed by neutron capture 4) Beta minus decay followed by gamma decay,,ESBOT
Energy,Short Answer,Researchers at Oak Ridge National Laboratory are studying ways to make hydrogenation catalysts that are stable in a variety of conditions. Identify all of the following 3 reactions that are hydrogenation reactions: I) Ethylene to Ethane II) Methane to Ethane III) Propyne to Propane ,I and III,Short Answer,Researchers at Lawrence Berkeley National Laboratory are using bioinformatics methods to study evolutionary relationships between sequences of nucleotides and amino acids. What algorithm are they using to compare these sequences for local similarities?,,ESBOT
Biology,Short Answer,Identify all of the following 4 types of blotting techniques that are incorrectly matched with the type of material they analyze: I) Northern Blot: RNA II) Western Blot: DNA III) Southern Blot: Protein IV) Eastern Blot: Post-translational modifications ,"II, III",Multiple Choice,Which of the following statements is NOT true regarding SDS-PAGE [S D S page]? W) Sodium dodecyl sulfate acts a charge buffer X) Polyacrylamide gel is used for electrophoresis Y) SDS PAGE preserves tertiary structure of proteins Z) Reducing thiols are often added during the preparation phase,,ESBOT
Physics,Short Answer,"Rohit is researching a new car he wishes to buy. He sees that the car’s engine has “300 ft-lb” [READ: 300 foot-pounds] and “225 horsepower” listed as its maximum output. What physical quantities do these two numbers measure, respectively? ",Torque and Power,Short Answer,A 800 Watt motor is used to lift a 5 kilogram block directly upwards. What is the velocity that the block rises with?,,ESBOT
Math,Short Answer,"A normal distribution for the height in inches of aliens on Planet X shows a mean of 50 inches and a standard deviation of 6 inches. If an alien has a height of 41 inches, what is their z-score according to the normal distribution? ",-1.5,Short Answer,"Rohit has 18 feet of fence to enclose an 18 square foot area of his backyard. Given that he must enclose 18 square feet, identify all of the following 4 shapes of areas in his backyard that he could create with the fence he has. I) Circle II) Hexagon III) Square IV) Equilateral Triangle",,ESBOT
Biology,Short Answer,"The F factor in bacteria encodes for what structure, which is required for horizontal gene transfer? ",Pili (ACCEPT: sex pili/sex pilus/pilus),Short Answer,Identify all of the following 4 structures that are formed by the mesoderm: I) Adrenal medulla II) Adrenal cortex III) Thyroid IV) Pituitary gland,,ESBOT
Energy,Short Answer,"Researchers at NASA have recently discovered in the Crab Nebula a supernova that fits into the very rare type III supernova. The difference between the more common types, a type I and a type II supernova, is characterized strongly by the presence or absence of what element in its emission spectrum. ",Hydrogen,Multiple Choice,Scientists at Mayo clinic are studying double fertilization and its effects on plant development. What structure fertilizes a plant seed for the second time? W) Capsella X) Radicle Y) Polar Nuclei Z) Pollen,,ESBOT
Earth and Space,Short Answer,Identify all of the following 4 fusion processes that could occur in a brown dwarf: I) Proton Proton Chain II) Lithium burning III) CNO cycle IV) Triple Alpha Process ,II Only,Short Answer,Which astronomer is credited with discovering Io?,,ESBOT
Biology,Short Answer,What amino acid is not commonly found in alpha helices due to its lack of steric hindrance? ,Glycine,Short Answer,Order the following 4 events of the cell cycle of a germ cell in chronological order: 1) G2/M checkpoint 2) Cohesin degradation 3) Crossing over 4) Cytokinesis,,ESBOT
Earth and Space,Short Answer,Identify all of the following 4 which could be used to measure distance on cosmological scales: I) Parallax II) Cepheid [sef-ee-id] Variables III) Mira Stars IV) Dwarf Novae ,"I, II and III",Short Answer,Which of the following is the correct term for the theory of universe death in which the Higgs Field reaches its absolute minimum? W) Heat Death X) Big Rip Y) Vacuum Decay Z) Big Crunch,,ESBOT
Chemistry,Short Answer,What is the anhydride of Barium hydroxide? ,BaO,Short Answer,"A 0.01 Molar solution of a weak acid has a pH of 3. To two significant figures, what is the value of the Kafor this acid?",,ESBOT
Energy,Short Answer,Researchers at the NIH are studying the effects of methanol poisoning. Which of the following is the best treatment for methanol poisoning? W) Diethyl Ether X) Dopaquinone [READ: dope-uh-kwi-none] Y) Ethanol Z) Glucose ,Y) Ethanol,Short Answer,"Researchers at Fermilab are studying quantum computing and the way that quantum bits of information interact with each other, as well as the differences between quantum computing and binary computing. Compute the results of the following bitwise operations: 3 AND 12 XOR 15",,ESBOT
Chemistry,Short Answer,Abhinav performs a titration with NaOH as the titrant and Sulfuric acid as the analyte. How many equivalence points are visible in the titration graph? ,1,Short Answer,"What are the cathode and anode, respectively, of a Zinc-Carbon cell?",,ESBOT
Math,Short Answer,What is the smallest positive integer such that its remainder when divided by 7 is 1 and remainder when divided by 5 is 2? ,22,Short Answer,"How many ways are there to seat Annie, Billy, Carol, David, and Emily in a row of 5 seats if Annie and Emily refuse to sit next to each other?",,ESBOT
Physics,Short Answer,Identify all of the following five forces that are not fictitious forces: I) Coriolis force II) Gravitational force III) Tension force IV) Centrifugal force V) Azimuthal force ,II and III,Short Answer,"Thanush puts on Nikhil’s glasses. His glasses have convex lenses of focal length 3 cm. Thanush looks at a book of length 30 cm. In centimeters, how long does the book appear to him through Nikhil’s glasses?",,ESBOT
Biology,Short Answer,What secondary growth tissue is responsible for creating bark in woody plants? ,Cork cambium,Short Answer,Identify all of the following 4 cells not correctly matched with what they produce: 1) Beta cells - insulin 2) Delta cells - somatostatin [som-a-to-stat-in] 3) Epsilon cells - ghrelin [grel-in] 4) Alpha cells - glucagon,,ESBOT
Math,Short Answer,An imaginary convex simple polyhedron has 57 faces and 85 vertices. How many edges does this polyhedron have? ,140,Short Answer,"If x3- 9x2 + 5x -30 has distinct roots a, b, and c, what is the value of the expression 1 - a - b - c?",,ESBOT
Physics,Short Answer,"Consider an electric dipole of length 0.2 millimeters pointing along the x axis. If the force from the dipole at the point x = 3 meters on a charge is 400 N, what is the force on the same charge at x = 6 meters to the nearest Newton? ",50 N,Multiple Choice,"Consider a ball of mass m attached to a string. The other end of the string is attached to a square pole stuck in the ground. If the ball is hit at a velocity v and begins to wrap around the pole, what quantity is conserved as the ball wraps around the pole? W) Velocity X) Angular momentum Y) Linear momentum Z) Kinetic energy",,ESBOT
Energy,Short Answer,"Scientists at Sandia National Laboratory are studying the production of karyotypes in aneuploidies. In the production of a karyotype, cells are arrested at what phase of mitosis? ",Metaphase (ACCEPT: Prometaphase),Short Answer,"Researchers at Oak Ridge National Laboratory are studying the use of aromatic compounds as coolants for solar energy production. One of the compounds they are focused on studying is naphthalene, which is formed by fusing two benzene rings so they share a bond. What is the degree of unsaturation of naphthalene?",,ESBOT
Earth and Space,Short Answer,What is the name for asteroids that orbit Jupiter's Lagrange points? ,Trojan Asteroids,Short Answer,"The Earth and Jupiter were last in opposition in August of 2021. To the nearest month, when is our next opposition with Jupiter?",,ESBOT
Math,Short Answer,What is the value of the expression cos(14π/50) / sin(-11π/50) [READ: cosine of 14 pi over 50 divided by sine of negative 11 pi over 50]? ,-1,Multiple Choice,"What is the length of the shortest altitude of a triangle with side lengths 75, 100, and 125? W) 50 X) 60 Y) 75 Z) 100",,ESBOT
Biology,Short Answer,"Citrate is a product of the Krebs cycle that is used to regulate what key enzyme, called the pacemaker of glycolysis? ",Phosphofructokinase ( Accept PFK),Short Answer,"Let 2n denote the number of chromosomes and let s denote the total nuclear genetic material of a cell in G0 phase. What is the number of chromosomes and total genetic material, in terms of n and s respectively, of a cell in Anaphase?",,ESBOT
Biology,Short Answer,Guard cells regulate the opening and closing of stomata through the flow of what ion to regulate the cells’ turgor pressure? ,Potassium (ACCEPT: K+),Multiple Choice,A long day plant has a critical period of 13 hours in an environment with 15 hour night periods. Which of the following sequences of red and far red flashes of light during night would result in the plant flowering? W) Flashes of far-red light every hour X) A flash of red light immediately followed by a flash of far red light every hour Y) One flash of red light one hour into the night period Z) A flash of far red light immediately followed by a flash of red light every hour,,ESBOT
Energy,Short Answer,Researchers at Lawrence-Berkeley National Lab are studying the effects of solubility between different solvents. Which of the following ionic compounds is insoluble in water? W) Sodium Sulfate X) Sodium Hydroxide Y) Calcium Sulfate Z) Calcium Hydroxide ,Y) Calcium Sulfate,Short Answer,Scientists at Oak Ridge National Laboratory are studying mechanisms of delivering vitamins to patients using nanotechnology delivery systems. These delivery systems require that the vitamins are water-soluble. Identify all of the 4 following vitamins that are water-soluble: I) Niacin II) Retinal III) Cobalamin IV) Tocopherol,,ESBOT
Energy,Short Answer,"Researchers at SLAC National Accelerator Facility are studying the ways the subatomic particles travel through space and through the Earth’s atmosphere. What effect best explains why muons are able to reach the surface of the earth, despite their lifetime being less than the time it takes for them to travel through the atmosphere? ",Length contraction OR time dilation,Short Answer,Researchers at Oak Ridge National Laboratory are studying how cells get their supply of glucose. What is the name of the channels that allow for glucose to travel across the cell membrane?,,ESBOT
Physics,Short Answer,"Andrew quickly constructs a makeshift parallel-plate capacitor using olive oil as a dielectric, which has a dielectric constant of 3. He realizes that there are many ways to improve it to have even more capacitance, so he builds another capacitor with 4 times the plate area using deionized water as a dielectric, which has a dielectric constant of 30. What is the ratio of the new capacitance to the old capacitance? ",40,Short Answer,"Rishabh has a mass of 100 kilograms and is standing still. He is hit inelastically by a truck with mass 1000 kilograms traveling at 10 meters per second. To the nearest tenth of a meter per second, what is the speed that Rishabh flies off at?",,ESBOT
Earth and Space,Short Answer,In what type of meteorite can you find elongated crystals of metal? ,Iron meteorite (Accept: Iron),Short Answer,What two metals are widmanstatten [wit-man-stat-en] patterns primarily composed of?,,ESBOT
Physics,Short Answer,"Consider a PV graph with volume in cubic meters on the X axis and pressure in pascals on the Y axis. If a process on this graph begins at (4, 500) and ends at (2, 2000) while moving along a straight line path, what is the work in Joules done by the system during this process? ",-2500 J,Short Answer,Identify all of the following 3 quantities that have a positive value during isothermal expansion: I) Work done by the system II) Change in internal energy III) Heat added to the system,,ESBOT
Math,Short Answer,"7 positive consecutive integers starting with A have average B. In terms of A, what is the average of 9 consecutive integers that start with B? ",A + 7,Multiple Choice,What is the value of the fraction with numerator 2 to the power of 1001 plus 2 to the power of 1004 and denominator 2 to the power of 1002 minus 2 to the power of 1004?,,ESBOT
Chemistry,Short Answer,What is the hybridization of the center metal atom in a complex with a square planar geometry? ,dsp2,Short Answer,Which quantum number describes the orientation of subshells within three-dimensional space?,,ESBOT
Physics,Short Answer,"Two metal plates are placed in a constant magnetic field. Plate A has an area of 1 square meter and is oriented normal to the magnetic field lines, while Plate B has an area of 3 square meters and is oriented such that its normal is 30 degrees from the magnetic field lines. What is the ratio of flux through Plate B to the flux through Plate A? ",3√3 /2 [3 square root of 3 over 2],Multiple Choice,"Three solid spherical balls, A, B, and C, are placed on an inclined plane and released at the same time. Ball A is made of steel and has a radius of R, Ball B is made of wood and has a radius of 2R, and Ball C is made of tungsten and has a radius of ½R. Which ball would reach the bottom of the plane first? W) Ball A X) Ball B Y) Ball C Z) All three would reach the bottom at the same time",,ESBOT
Energy,Short Answer,"Researchers at Idaho National Lab are studying the behavior of ideal gases in various environments, which can be mathematically expressed with the ideal gas law. Identify all of the following 4 relationships that are shown through the ideal gas law: I) Avogadro’s Law II) Boyle’s Law III) Charles’s Law IV) Gay-Lussac’s Law [gay-loo-SACK] ",ALL,Short Answer,Scientists at Argonne National Laboratory are studying microtubular cytoskeletal elements. Identify all of the following 4 structures that follow a “9+0” structure I) Basal body II) Flagella III) Motile cilia IV) Non-motile cilia,,ESBOT
Math,Short Answer,"Andrew is practicing his free throws at the local park basketball court. If Andrew’s free throw average is 0.4, what is the average number of throws it will take for him to make one? ",2.5,Short Answer,What is the remainder when ½x4 + 2x3 - x2 + 4x + 1 is divided by (x - 2)?,,ESBOT
Energy,Short Answer,"After a very large conference, janitors at the Department of ",475,Short Answer,Researchers at the Lawrence Livermore National Lab are using the velocity interferometer system to measure the shocked states found in shock compression experiments. Which of the following principles does the Velocity interferometer system use to measure velocimetry data? W) Doppler Shift X) Huygen’s Principle Y) Chromatic Aberration Z) Optical Depth,,ESBOT
Biology,Short Answer,Identify all of the following 4 hormones that suppress the feeling of hunger: I) Leptin II) Ghrelin [grel-in] III) Insulin IV) PYY ,"I, III, IV",Short Answer,What amino acid does the body use to store ammonia?,,ESBOT
Chemistry,Short Answer,What is the degree of unsaturation of the compound C10H20O? ,1,Short Answer,"Rishabh, trying to imitate his favorite chemists, has defined a new thermodynamic variable that he calls Bedidha Free Energy, represented by B. The Bedidha Free Energy for a certain process is defined as the sum of the system’s internal energy and the heat added during that process. Identify all of the following 3 properties that apply to Bedidha Free Energy: I) It is a state variable II) It is conserved throughout a cycle III) It is equal to the enthalpy minus the Gibbs Free energy",,ESBOT
Math,Short Answer,Identify all of the following four polyhedra that can tile all of 3d space without gaps: I) Tetrahedron II) Hexagonal prism III) Scalene triangular prism IV) Skew rectangular prism ,"II, III, and IV",Short Answer,"A function f(x) has derivative given by dy/dx = 2 - x, and f(1) = 0. What is the limit as x approaches 1 of f(x) / (x3 - 1) [READ: f of x divided by open parenthesis x cubed minus 1 closed parenthesis]?",,ESBOT
Earth and Space,Short Answer,What mineral would first precipitate out of ultramafic magma at ambient pressures? ,Olivine,Short Answer,Identify all of the following 4 formations that can only form with the occurrence of multiple glaciers in close proximity: I) Arete [air-eet] II) Horn III) Esker IV) Rouche Moutonnee [roo-sh moo-ton-ay],,ESBOT
Biology,Short Answer,What type of cells in the eyes are responsible for sensing information about colors? ,Cones,Multiple Choice,Which of the following is the best example of antibiosis? W) Plant secretions preventing insect growth X) Two finches competing for food Y) A tapeworm stealing nutrients from a host Z) A lion hunting a zebra,,ESBOT
Math,Short Answer,What is the product of all of the 5th roots of 1 + √3 i? ,1 + √3 i,Short Answer,"Consider two positive integers x and y. If x is divisible by 2 and y is divisible by 4, identify all of the following 3 statements that must be true: I) xy is divisible by 8 II) y is divisible by x III) x is divisible by y",,ESBOT
Biology,Short Answer,Deficiency in what vitamin leads to pellagra? ,Niacin (ACCEPT: B3),Short Answer,"Identify all of the following 4 conditions that would result in a Bohr shift of the hemoglobin-oxygen dissociation curve: I) Increased partial pressure of CO2 II) Increased partial pressure of O2 III) Increased concentration of 2,3 BPG in the blood IV) Increased concentration of lactic acid in the blood",,ESBOT
Earth and Space,Short Answer,"Occasionally, two separate crystals in a mineral can grow in such a way that they intersect each other and share a crystallographic plane. What is the name of this phenomenon? ",Twinning,Multiple Choice,Which of the following radioactive isotopes would be most appropriate for dating a sample of age 140 million years? W) Uranium-235 X) Samarium-147 Y) Rubidium-87 Z) Uranium-238,,ESBOT
Math,Short Answer,"Enloe Science Bowl needs to select new board members for their 2022-2023 season. If there are 15 ways they can choose a 2 person board, how many different ways can they select a 3 person board? ",20,Short Answer,"Providing your answer in base 8, add the following numbers in different bases [READ AS DIGITS]: 101011 in base 2, 221 in base 4, 14 in base 8, A in base 16?",,ESBOT
Energy,Short Answer,Researchers at the Office of Fossil ,Regasification,Short Answer,"Researchers at the Office of Fossil Energy are studying ways to improve the processing of natural gas. If the first step in a purification process has an activation energy of 830 kJ, what is the natural log of the ratio between the reaction rate constants at 800 Kelvin and 400 Kelvin?",,ESBOT
Biology,Short Answer,The contraction of muscles in the human body is stimulated by the release of what ion? ,"Ca2+ (ACCEPT: calcium, calcium ion)",Multiple Choice,"Cyclic electron flow in photosynthesis excludes what photosystem and serves to primarily produce what substance, respectively? W) Photosystem I, NADPH X) Photosystem I, ATP Y) Photosystem II, NADPH Z) Photosystem II, ATP",,ESBOT
Math,Short Answer,A tetrahedron of volume 1 is removed from each vertex of a tetrahedron of volume 17. How many edges does the new solid have? ,18,Short Answer,"A Pythagorean Quadruple is a set of 4 numbers a, b, c, d, such that a2 + b2 + c2 = d2 [READ: a squared plus b squared plus c squared equals d squared]. Identify all of the following 3 sets of numbers that will form a Pythagorean Quadruple. I) (3, 4, 12, 13) II) (6, 10, 15, 17) III) (8, 9, 12, 17)",,ESBOT
Energy,Short Answer,"Researchers at the Brookhaven National Laboratory are studying the ways that plant seeds get energy from the endosperm. One of these ways includes synthesizing sugars from lipids, and occurs in a specialized version of a peroxisome. What is the name of this anabolic pathway? ",glyoxylate cycle,Short Answer,"Scientists at SLAC National Accelerator Facility are leading the creation of new laser technologies. So far, they have succeeded in producing lasers that emit highly cohesive radiation as well as lasers that emit very short pulses of strong radiation, but have not been able to create a laser that accomplishes both of these. What scientific principle is preventing them from making advancements towards this?",,ESBOT
Physics,Short Answer,Impedance is a combination of what two electrical quantities? ,Resistance and Reactance,Short Answer,"What is the magnitude of the impedance of a circuit with resistance of 7 ohms, capacitance reactance of 30 ohms, and inductive reactance of 6 ohms?",,ESBOT
Biology,Short Answer,Identify all of the following 3 hormones that are produced by the anterior pituitary [pit-oo-i-tar-ee] gland: I) Oxytocin II)  Luteinizing [loo-tee-in-izing] Hormone III)  Antidiuretic [anti-di-yur-etic] Hormone ,II only,Multiple Choice,Which of the following incorrectly matches a glial cell with its function? W) Microglia - immune cell X) Ependymal cells - circulate cerebrospinal fluid Y) Astrocytes - myelinate central nervous system Z) Schwann cells - myelinate peripheral nervous system,,ESBOT
Chemistry,Short Answer,What term describes a solution that rotates the polarization angle of light that travels through it? ,Optically active,Short Answer,Identify all of the following 3 terms that are used to describe types of metal alloys: I) Smectic II) Interstitial III) Substitutional,,ESBOT
Biology,Short Answer,Select all of the following 3 groups of protists that have heteromorphic generations: I) Brown Algae II) Plasmodium III) Paramecium ,I and II,Short Answer,Select all of the following 4 characteristics that are true of frogs: I) They utilize negative pressure breathing II) They are poikilotherms III) They undergo meroblastic cleavage IV) They have 3 chambered hearts,,ESBOT
Math,Short Answer,What is the angle in degrees formed by the minute and hour hands of a clock at 6:30? ,15,Short Answer,"Nikhil is planning on walking from his house to the 2023 Genshin Expo. Nikhil lives at (0,0) and the Genshin Expo is at (6,4), and can only walk North or East on lattice points. However, he wants to avoid a patch of grass on the way there, which is located at (4,3). How many ways are there for Nikhil to go to the Genshin Expo without touching grass?",,ESBOT
Physics,Short Answer,"Kaiwen’s rocket engine parts have arrived in a box with a total mass of 80 kilograms. He places the box on frictionless wheels and pushes it forwards with a force of 40 Newtons. After 4 seconds of pushing, he accidentally engages the brakes and the box skids away from him with a friction force of 160 Newtons. How far in meters does the box travel after the brakes are engaged? ",1,Multiple Choice,"In a gas, both conduction and convection play a role in heat transfer. What quantity, defined as the kinematic viscosity divided by the conductivity, estimates the relative contributions of each type of heat transfer? W) Reynold’s number X) Prandtl number Y) Stokes number Z) Poisson number",,ESBOT
Math,Short Answer,"Sukrith is writing down his square roots. He writes down the square root of some integer n to the nearest thousandth. However, he spilled ink on the integer part of the square root! If all he can see is the fractional part, then what is the smallest value of n when the fractional part is equal to [point seven three two]? ",3,Short Answer,"Consider an element of the permutation group P5 [P five] that maps the sequence 1, 2, 3, 4, 5 to the sequence 4, 5, 3, 2, 1. What is the order of this element?",,ESBOT
Physics,Short Answer,"Thanush is examining the wavefunction of his pet electron. He notices that at , his electron has a wavefunction of [psi of x]. He wants to determine 𝑡 = 0 Ψ(𝑥) the uncertainty of his electron’s momentum. To do so, he decomposes the electron’s wave function into momentum eigenstates. What mathematical operation does he apply to the wave function to achieve this? ",Fourier transform,Short Answer,"One mole of a monatomic ideal gas is kept at constant pressure. Its temperature is increased from 100 Kelvin to 200 Kelvin. In terms of physical constants, what is the change in entropy of the gas?",,ESBOT
Chemistry,Short Answer,"What quantity, which is approximately equal to the negative of the Mulliken electronegativity, is defined as the partial derivative of internal energy with respect to particle number? ",Chemical potential,Multiple Choice,Which of the following functions could represent reactant concentration as a function of time for a reaction governed by the rate law [rate equals k times square root of the concentration of A] W) [C equals 3 e to the negative 4 t] X) [C equals 4 divided by the quantity 2t plus 5] Y) [C equals open parentheses 3 minus 2t close parentheses squared] Z) [C equals 1 divided by open parentheses 3t plus 1 close parentheses squared],,ESBOT
Biology,Short Answer,"The coiling of snail shells is regulated by a maternal effect gene, where a right-handed shell D [big D] is dominant to a left-handed shell d [little d]. If a female snail with genotype Dd [big D little d] is crossed with a male snail of genotype dd [little d little d], what is the expected phenotypic ratio of right handed to left handed snails in the F2 generation? ",1:1,Short Answer,"Due to a mutation, the GTPase Ran [ran] has stopped functioning. This would most affect the import of molecules into what organelle?",,ESBOT
