category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Chemistry,Short Answer,"When a sample of Plutonium-242 undergoes al- pha decay, it forms what isotope of uranium? ",U-238 (ACCEPT: Uranium-238),Multiple Choice,Equilibrium occurs when which of the follow- ing conditions is satisfied? W) The total mass of the reactants equals the total mass of the products X) The total number of reactant molecules equals the total number of product molecules Y) The forward reaction rate equals the reverse reaction rate Z) The forward reaction order is equal to the reverse reaction order ,Y) The forward reaction rate equals the reverse reaction rate,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR3
Earth and Space,Short Answer,What is the most abundant chemical sedi- mentary rock? ,Limestone,Short Answer,Order the following three rocks by increas- ing metamorphic grade: 1) Gneiss; 2) Schist; 3) Phyllite. ,"3, 2, 1",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR3
Biology,Short Answer,Lawrence wants to make a cDNA library using the mRNA he collected from a cell. What enzyme must he use to transcribe the RNA into DNA? ,Reverse transcriptase,Short Answer,A temperate virus can use both the lytic and what other replicative cycle? ,Lysogenic,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR3
Physics,Multiple Choice,"According to an electric potential graph, at the same distance, which of the following interactions would have the lowest potential energy?  W) Electron-electron  X) Proton-helium nucleus  Y) Proton-electron  Z) Electron-helium nucleus ",Z) Electron-helium nucleus,Multiple Choice,Which of the following is not a state function for an ideal gas? W) Work X) Volume Y) Temperature Z) Pressure ,W) Work,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR3
Chemistry,Short Answer,"For an exothermic reaction, identify all of the following three statements that are true: 1) The sign of ∆H for the reaction is positive; 2) The reactants are at a higher energy than the products; 3) Increasing the temperature would shift the reaction towards products. ",2 only,Short Answer,Order the following three intermolecular interac- tions by increasing strength: 1) Dipole-dipole forces; 2) Hydrogen bonding; 3) Van der Waals forces ,"3, 1, 2",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR3
Earth and Space,Short Answer,The blue color of Uranus and Neptune is primarily due to the atmospheric absorption of red light by which molecule? ,Methane,Short Answer,A type I supernova is differentiated from a type II supernova based on the lack of what element in their spectra? ,Hydrogen,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR3
Biology,Multiple Choice,Which of the following molecules is produced during glycolysis?  W) ADP  X) NAD+  Y) Oxygen  Z) ATP ,Z) ATP,Short Answer,"A student begins with one molecule of DNA in their thermocycler, then performs PCR and ends up with 8 molecules of DNA. How many cycles of PCR did they run? ",3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR3
Physics,Short Answer,"To the nearest thousand and in kilometers per sec- ond, what is the speed of light traveling through a material with an index of refrac- tion of 1.25? ","240,000",Short Answer,A particle with constant velocity travels 76 meters north and 57 meters east in 19 seconds. What is the magnitude of the velocity of the particle? ,5,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR3
Chemistry,Short Answer,"The standard reduction potential of Fe3+ to iron metal is -0.04, while the standard reduction potential of Ni2+ to nickel metal is -0.23. For a standard galvanic cell with solutions of Fe3+ and Ni2+ in different compartments, what is the cell potential? ",0.19,Short Answer,Order the following three gases by increasing rate of effusion at 400 kelvin through a pinhole: 1) Oxygen; 2) Hydrogen fluoride; 3) Ammonia. ,"1, 2, 3",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Earth and Space,Multiple Choice,What atmospheric circulation cell is bounded by the equatorial low and subtropical high?  W) Hadley  X) Ferrel  Y) Walker  Z) Polar ,W) Hadley,Short Answer,Identify all of the following three unconfor- mities that commonly only involve sedimentary rocks: 1) Angular unconformity; 2) Nonconformity; 3) Disconformity. ,1 and 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Biology,Multiple Choice,"Two species of corn plants can be crossed to pro- duce a hybrid offspring that is infertile. This offspring randomly duplicates its genome, and now can self cross to produce more of itself, creating a new species. This is an example of which of the following?  W) Sympatric speciation  X) Allopatric speciation  Y) Founder effect  Z) Bottleneck effect ",W) Sympatric speciation,Short Answer,What sex determination system is utilized by individ- uals of hymenoptera and other social insects? ,Haplodiploid system (ACCPET: Haplodiploidy),C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Physics,Short Answer,"A fluid is added to a container where two pistons of non-equal areas are touching the fluid. On a piston with area 20 square centime- ters, a force pushes down with a force of 70 newtons. The piston on the other side with area 40 square centimeters experiences an upward force of what magnitude, in newtons? ",140,Multiple Choice,"Which of the following base and height dimensions for a ramp would ensure the largest magnitude of acceleration of a block placed at the top? W) Base: 5, Height: 3 X) Base: 4, Height: 3 Y) Base: 3, Height: 5 Z) Base: 4, Height: 4 ","Y) Base: 3, Height: 5",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Chemistry,Short Answer,What is the average oxidation state of oxygen in O2F2? ,+1,Multiple Choice,Which of the following pairs of elements will have the highest bond dissociation energy? W) Silver and fluorine X) Carbon and fluorine Y) Silver and iodine Z) Carbon and iodine ,X) Carbon and fluorine,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Earth and Space,Short Answer,Quintessence and the cosmological con- stant are two proposed forms of what form of energy which is responsible for the accelerating expansion of the universe? ,Dark energy,Multiple Choice,Which of the following is closest to the percentage of the total energy in the universe that is made up of dark energy? W) 30 X) 50 Y) 70 Z) 90 ,Y) 70,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Biology,Multiple Choice,The enzyme nitrogenase is most directly involved in which of the following processes?  W) Ammonification  X) Nitrogen fixation  Y) Denitrification  Z) Nitrification ,X) Nitrogen fixation,Short Answer,Identify all of the following three vitamins that are fat soluble: 1) A; 2) B3; 3) E. ,1 and 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Physics,Multiple Choice,"Which of the following changes to the force ap- plied on a spherical surface and the radius of the sphere would result in the smallest change in pressure?  W) Force is doubled, radius is tripled  X) Force is tripled, radius is quadrupled  Y) Force is tripled, radius is doubled  Z) Force is quadrupled, radius is tripled ","Y) Force is tripled, radius is doubled",Multiple Choice,A graduate student calculated the mass of a gold nucleus by summing the masses of the protons and neutrons within it. The mass they calculated is: W) Greater than the actual mass X) Less than the actual mass Y) Equal to the actual mass Z) Mass relative to actual mass is dependent on the specific isotope of gold ,W) Greater than the actual mass,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Chemistry,Multiple Choice,Which of the following reactions is a redox reaction?  W) 2NO2 −−→ N2O4  X) P4O10 + 6H2O −−→ 4H3PO4  Y) HCl + NaHCO3 −−→ NaCl + H2O + CO2  Z) 2H2O2 −−→ 2H2O + O2 ,Z) 2H2O2 −−→ 2H2O + O2,Short Answer,A basic buffer is prepared using 10−3 moles of an acid with a pKa of 3 and 10−3 moles of the acid’s conjugate acid. What is the pH of the buffer? ,3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Earth and Space,Short Answer,What is the oxidation state of iron in pyrite? ,+2 (ACCEPT: 2),Multiple Choice,Abigail is studying the land formations in Mt. Washington and discovers a dike that cuts through an older body of granite. Which of the following principles allows her to determine the relative age of the two rocks? W) Superposition X) Original horizontality Y) Lateral continuity Z) Cross-cutting relationships ,Z) Cross-cutting relationships,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Biology,Multiple Choice,Which of the following would occur more often in C3 plants than in C4 plants?  W) Thriving in high-intensity light  X) Photorespiration  Y) PEP carboxylase fixes CO2  Z) Open stomata at night ,X) Photorespiration,Short Answer,Identify all of the following three viruses that be- long to the family retroviridae : 1) HIV; 2) Rhinovirus; 3) Coronavirus. ,1 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Physics,Short Answer,What general technique is used to modulate the prop- erties of electronic materials by introducing impurities to modify their band struc- ture? ,Doping,Multiple Choice,"Which of the following elements, when presented as an impurity in silicon, would result in a p-type semiconductor? W) Phosphorus X) Antimony Y) Carbon Z) Boron ",Z) Boron,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Chemistry,Multiple Choice,Which of the following elements appears clos- est to red during a flame test?  W) Sodium  X) Magnesium  Y) Potassium  Z) Calcium ,Z) Calcium,Multiple Choice,"Carbon-14, which has a half-life of 6,000 years, is initially present in a geologic deposit and decays without replacement, while all carbon-12 initially present does not decay. When the ratio of carbon-12 to carbon- 14 in the geologic deposit triples, which of the following is closest to the number of years that have passed? W) 6000 X) 12000 Y) 18000 Z) 24000 ",X) 12000,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Earth and Space,Multiple Choice,Which of the following types of radiation would best inform a team of scientists about the presence of dust near a galaxy’s center?  W) Ultraviolet  X) Infrared  Y) Radio  Z) Optical ,X) Infrared,Short Answer,"Saturn’s largest known moon, Titan, is notable for having clouds and lakes primarily composed of what chemical com- pound? ",Methane,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Biology,Short Answer,Klinefelter’s syndrome is characterized by how many copies of the X chromosome? ,2,Multiple Choice,Huntington’s disease is characterized by which of the following inheritance patterns? W) Autosomal dominant X) Autosomal recessive Y) Sex-linked dominant Z) Sex-linked recessive ,W) Autosomal dominant,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Physics,Short Answer,A student is observing the properties of electrons ejected from a material when exposed to light. What quantity of the material can the student measure along with the electron kinetic energy to find the energy of the photons? ,Work function,Multiple Choice,"In the Stern-Gerlach experiment, the deflection of silver atoms in a magnetic field was due to what quantum property of the atoms? W) Orbital angular momentum X) Spin Y) Charge Z) Mass ",X) Spin,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR4
Chemistry,Multiple Choice,Which of the following is NOT an assumption of kinetic molecular theory about particles in a gas?  W) Particles have negligible volume  X) Particles have no net speed  Y) Particle collisions conserve kinetic energy  Z) Particles have no attractive forces ,X) Particles have no net speed,Short Answer,An aqueous solution of an alkali metal’s hydroxide is electrolyzed. What gas is produced at the electrolytic cell’s anode? ,Oxygen,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Earth and Space,Multiple Choice,The rapid quenching of pillow basalts produces what mineraloid on the surface of these rock formations?  W) Opal  X) Chert  Y) Obsidian  Z) Greywacke ,Y) Obsidian,Short Answer,"An island is surrounded by a fringing reef. When this island is eroded to form a seamount, the reef will remain behind, form- ing what circular feature in the ocean? ",Atoll,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Biology,Short Answer,What form of endocytosis do cells use to transport small fluids inside the cell via the budding of small vesicles from the plasma mem- brane? ,Pinocytosis,Multiple Choice,Kinases are enzymes that are responsible for trans- ferring a phosphate group onto proteins. Cyclic AMP is necessary for the activa- tion of which of the following kinases? W) Protein Kinase A X) Protein Kinase C Y) Phosphofructokinase Z) Hexokinase ,W) Protein Kinase A,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Physics,Short Answer,What law relates the current density in a resistive material to the electric field experienced throughout the material? ,Ohm’s law,Multiple Choice,The peak of the Maxwell-Boltzmann velocity dis- tribution indicates what information about the gas molecules it represents? W) Root-mean-square speed X) Average speed Y) Lower-bound speed Z) Most probable speed ,Z) Most probable speed,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Chemistry,Short Answer,Rank the following three chemical species by in- creasing atomic radius: 1) S2–; 2) Cl–; 3) Ar. ,"3, 2, 1",Short Answer,What is the bond order of the oxygen-oxygen co- valent bond in the ozone molecule? ,1.5,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Earth and Space,Multiple Choice,Which of the following statements is NOT true regarding sunspots?  W) They are warmer than surrounding areas  X) Their cycle has a period of approximately 11 years  Y) They are often found in pairs with magnetic fields pointing opposite directions  Z) Sunspots at the equator move faster than sunspots near the poles ,W) They are warmer than surrounding areas,Short Answer,Order the following three layers of the sun from innermost to outermost: 1) Radiative zone; 2) Convective zone; 3) Photo- sphere. ,"1, 2, 3",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Biology,Short Answer,What ATPase is most responsible for maintaining the resting potential of a neuron? ,Sodium-potassium pump,Short Answer,Identify all of the following three structures that are typically considered modified stems: 1) Rhizome; 2) Stolon; 3) Tuber. ,All,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Physics,Short Answer,The beta decay of atoms is mediated by what funda- mental force? ,"Weak nuclear force (ACCEPT: Weak force, weak)",Short Answer,Beta plus decay products include an electron neu- trino and what other subatomic particle? ,Positron,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Chemistry,Short Answer,Transition metal complexes with four ligands around the metal center can exhibit a square planar geometry or what other ge- ometry? ,Tetrahedral,Short Answer,Order the following three ionic compounds by increasing lattice energy: 1) MgO; 2) NaCl; 3) MgCl2. ,"2, 3, 1",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Earth and Space,Short Answer,What term describes the fractures exhibited by evenly cooling flood basalts that create a regular hexagonal pattern? ,Columnar jointing,Multiple Choice,The rainfall and snowfall around a lake is highest on its west side. From which of the following directions does the pre- vailing wind likely come from? W) North X) South Y) East Z) West ,Y) East,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Biology,Multiple Choice,"Galen is finding islands to claim for his kingdom, and finds two islands, which he names Island A and Island B. Island A is far- ther from the mainland, and has higher species diversity and richness than island B. According to the island biogeography model, which of the following can you conclude about island B?  W) It is smaller than island A  X) It is larger than island A  Y) It is the same size as island A  Z) It has more disturbance than island A ",W) It is smaller than island A,Multiple Choice,Which of the following best describes the func- tion of the Casparian strip? W) Prevents water from entering the phloem X) Prevents sugar from entering the xylem Y) Forces water to move through a semipermeable membrane Z) Forces sugars to move through a membrane transport protein ,Y) Forces water to move through a semipermeable membrane,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Physics,Multiple Choice,Stimulated emission within a laser is done through the excitation of what subatomic particles?  W) Neutrons  X) Protons  Y) Electrons  Z) Positrons ,Y) Electrons,Short Answer,Identify all of the following three particles that have integer spin: 1) Proton; 2) Z-Boson; 3) Gluon. ,2 and 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Chemistry,Multiple Choice,Which of the following elements has only one naturally occurring isotope?  W) Carbon  X) Oxygen  Y) Fluorine  Z) Phosphorus ,Y) Fluorine,Multiple Choice,Which of the following compounds has the lowest normal boiling point? W) H2O X) H2S Y) H2Se Z) H2Te ,X) H2S,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Earth and Space,Multiple Choice,The moon Triton is unique among other large moons due to which of the following properties?  W) Retrograde orbit  X) Lack of hydrostatic equilibrium  Y) Tidal locking  Z) Liquid water surface ,W) Retrograde orbit,Short Answer,Order the following three objects in the solar system from innermost to outermost: 1) Vesta; 2) Eris; 3) Charon. ,"1, 3, 2",C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Biology,Multiple Choice,From what organisms are restriction enzymes derived from?  W) Bacteria  X) Archaea  Y) Bacteriophages  Z) Lentiviruses ,W) Bacteria,Short Answer,"Red mangrove seeds often germinate while still on the tree. This is caused by the lack of which plant hormone, which also mediates stomatal closure? ",Abscisic [ab-SIZ-ic] acid,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Physics,Multiple Choice,"A ray of light at an angle of 30 degrees with respect to the normal travels from air to water, which has an index of refraction of 1.33. In degrees, which of the following is closest to the angle of the ray with respect to the normal in water?  W) 10  X) 20  Y) 30  Z) 40 ",X) 20,Short Answer,"An inductor stores 5 joules of energy. How much energy will it store, in joules, if the number of coils is doubled and the cross- sectional area of the coil is doubled? ",40,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Ignis RR5
Chemistry,Multiple Choice,"In the limit of an infinite chain, polyacetylene is observed to have a decreasing change in resistivity with temperature. Which of the following phases of condensed matter does polyacety- lene exist in the limit of an infinite chain?  W) Metal  X) Semiconductor  Y) Superconductor  Z) Insulator ",X) Semiconductor,Short Answer,What is the ratio of the energy of a photon released when an electron transitions from the n = 3 to the n = 2 state to the energy of a photon released when an electron transitions from the n = 4 to the n = 3 state in a hydrogen atom? ,20/7,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Earth and Space,Short Answer,Identify all of the following three processes that may result in crustal rebound: 1) Deglaciation; 2) Lithospheric delamination; 3) Orogenesis. ,1 and 2,Multiple Choice,"At a constant depth, which of the following aluminosilicate minerals would form at the highest temperature? W) Kyanite X) Sillimanite Y) Andalusite Z) Kaolinite ",X) Sillimanite,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Biology,Multiple Choice,Larry breathes in the contents of a bomb calorime- ter and his lower airways start collapsing due to multiple burns. Which of the following is he likely experiencing?  W) Emphysema  X) Increased vital capacity  Y) Increased partial pressure of oxygen in his lungs  Z) Increased stimulation of J receptors ,W) Emphysema,Short Answer,Which enzyme is responsible for the conversion of trypsinogen into trypsin ? ,Enterokinase,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Physics,Short Answer,The cyclotron frequency of an electron in a vacuum is a quantity defined in a way such that what constant is scaled linearly by the strength of the magnetic field? ,Charge-to-mass ratio,Short Answer,"If the moment of inertia of a uniformly dense sphere of radius R and mass M is I about its central axis, what is the moment of inertia of the same sphere but with all of the mass from 0 to R 2 hollowed out, as a fraction of I? ",31 32I,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Chemistry,Multiple Choice,"While barium ions can be used to precipitate sul- fate ions out of aqueous solutions, barium sulfides are significantly more soluble. Which of the following best explains this effect according to hard-soft acid-base theory?  W) Oxide ions are harder bases than sulfide ions  X) Oxide ions are softer bases than sulfide ions  Y) Sulfur six ions are harder bases than sulfide ions  Z) Sulfur six ions are softer bases than sulfide ions ",W) Oxide ions are harder bases than sulfide ions,Short Answer,The reaction A yields 2B is second-order in A. The first half-life is 5 seconds when the reaction starts using 2 moles of A. How many seconds after the reaction begins will it take until there are 3.5 moles of B present? ,35,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Earth and Space,Short Answer,"Around a rotating black hole, general rel- ativity predicts that light moving in the direction of rotation will move past the black hole faster than light moving against the direction of rotation. What effect is this known as? ",Frame dragging,Short Answer,Identify all of the following three astronom- ical features that can be sustained by recombination: 1) HII regions; 2) Stromgren spheres; 3) Neutral molecular dust. ,2 and 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Biology,Short Answer,How many molecules of sodium dodecyl sulfate would bind to a protein composed of 36 amino acids? ,18,Short Answer,Malabsorption can occur from what disease that decreases the surface area of the brush border due to an autoimmune loss due to sensitivity to proteins known as gluten? ,Celiac disease,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Physics,Short Answer,"What technique is used to probe inside hadrons, and was used as the first piece of evidence that quarks exist? ",Deep inelastic scattering,Multiple Choice,"A wheel separated into four equal quadrants by two diagonal lines is numbered 1, 2, 3, 4 counter-clockwise from the 12 o’clock position. The wheel is then set to rotate at 300 revolutions per minute. If a dart is fired towards the topmost quadrant of the wheel from 35 meters away while flying at 10 meters per second, which of the quadrants will it land on? W) 1 X) 2 Y) 3 Z) 4 ",Y) 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Chemistry,Short Answer,What is the molecular geometry of the metal cen- ter in nickel tetracarbonyl ? ,Tetrahedral,Multiple Choice,The equilibrium between the dissolution and precipitation of an ionic compound with chemical formula AB in water is neces- sarily shifted toward dissolution by which of the following changes? W) Adding more AB to the solution X) Adding an ionic compound CD to the solution Y) Increasing temperature of the solution Z) Decreasing temperature of the solution ,X) Adding an ionic compound CD to the solution,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Earth and Space,Multiple Choice,Which of the following devices would provide the best vertical resolution of the current state of the atmosphere?  W) Radiosonde  X) Geostationary satellite  Y) Land-based radar  Z) Air-based radar ,W) Radiosonde,Multiple Choice,What best describes the origin of deep- focus earthquakes found below usual crustal depths? W) Hydration of down-going subducted plates X) Metamorphism of subducted slabs Y) Diversion of mantle flow due to subducted slabs Z) Lithospheric heating from generation of lithospheric windows ,X) Metamorphism of subducted slabs,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Biology,Multiple Choice,Which of the following eicosanoids would be deficient in a person possessing a knockout mutation for the lipoxygenase enzyme?  W) Thromboxanes  X) Prostacyclins  Y) Leukotrienes  Z) Cyclic endoperoxides ,Y) Leukotrienes [loo-koh-TRI-eens],Short Answer,"Because of the presence of gamma carboxygluta- mate residues on fibrin, blood clotting cannot occur without the presence of which ion? ",Ca2+ (ACCEPT: Calcium),C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Physics,Short Answer,"A single photon is introduced into an otherwise closed system of 200 helium electrons in the first excited state. Based on this information alone, identify all of the following results that are possible after the photon is introduced: 1) The number of photons present at a given time is more than one; 2) The number of photons present at a given time is zero; 3) The number of electrons at a given time is less than 200. ",1 and 2,Short Answer,Identify all of the following three vector quantities associated with a particle that will remain unchanged under parity flip: 1) Spin; 2) Orbital angular momentum; 3) Magnetic torque. ,All,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Chemistry,Multiple Choice,Carnelley’s rule states that highly symmetric molecules tend to have high melting points. Which of the following best explains this observation?  W) Symmetric molecules have a large heat of fusion and large entropy of fusion  X) Symmetric molecules have a large heat of fusion and small entropy of fusion  Y) Symmetric molecules have a small heat of fusion and large entropy of fusion  Z) Symmetric molecules have a small heat of fusion and small entropy of fusion ,X) Symmetric molecules have a large heat of fusion and small entropyof fusion,Short Answer,What compound is the anhydride of perchloric acid? ,Cl2O7,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Earth and Space,Multiple Choice,The Faber-Jackson power law for lumi- nosity and velocity distributions is applied to which of the following galaxy types?  W) Ring  X) Spiral-barred  Y) Elliptical  Z) Lenticular ,Y) Elliptical,Short Answer,"After contracting as a pre-main sequence object, massive protostars enter the main sequence via what horizontal pathway? ",Henyey track,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Biology,Short Answer,"Identify all of the following three effects that would result from altitude acclimation: 1) Increased hematocrit ; 2) Increased production of 2,3 BPG; 3) Increased release of endothelin-1 in the pe- ripheral capillaries. ",1 and 2,Short Answer,Cytochrome P450 and hemoglobin both contain what characteristic macrocyclic ring that coordinates iron? ,Porphyrin,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Physics,Short Answer,What two vector fields are introduced in order to account for the total observed electric field inside a dielectric due to the presence of bound charges? ,Polarization and displacement fields,Short Answer,Identify all of the following three wavevector mag- nitudes that would cause a plane electromagnetic wave to attenuate when in a non-vacuum medium: 1) 2π2 2) 2π2 +3i 3) 2π2 −3i ,2 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE1
Chemistry,Short Answer,"In IR spectroscopy, what property of a molecule’s vibrational mode must change for the mode to be considered as IR active? ",Dipole moment,Multiple Choice,"In a molecule of phosphorus pentachloride, which of the following is closest to the average phosphorus chlorine bond order? W) 0.67 X) 0.8 Y) 1.0 Z) 1.2 ",X) 0.8,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE2
Earth and Space,Multiple Choice,By what factor would a tsunami’s wave speed change when it moves from water 4 kilometers deep to water 1 kilometer deep?  W) 4  X) 2  Y) 1/2  Z) 1/4 ,Y) 1/2,Short Answer,Identify all of the following three features that are results of differential erosion: 1) Blowouts; 2) Yardangs; 3) Desert pavement. ,2 only,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE2
Biology,Multiple Choice,Greycen has been prescribed oxymetazoline  Y) Nasal congestion  Z) Hyperglycemia ,W) Hypertension,Short Answer,Identify all of the following three statements that are true of peptide bonds: 1) The peptide alpha carbon to nitrogen bonds contain partial double bond character; 2) There is rotation about the bond from the amide group to the alpha carbon; 3) Peptide bonds between glycine residues exhibit the highest number of allowed conformations on a Ramachandran plot. ,2 and 3,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE2
Physics,Short Answer,What is the term for the special type of vector that relates circular motion to sinusoidal motion on a diagram? ,Phasor,Short Answer,The partial derivative of entropy with respect to what thermodynamic quantity at constant volume is used to define temperature? ,Internal energy,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE2
Chemistry,Multiple Choice,A chemist wants to determine the temperature of a reversible isothermal process. The chemist plots the heat of the process along the y-axis against the entropy of the process along the x-axis to create a line. Which of the following quantities represents the temperature of this process?  W) Slope of the line  X) Inverse of slope of the line  Y) y-intercept of the line  Z) Inverse of y-intercept of the line ,W) Slope of the line,Short Answer,What constant in the Born-Mayer equation relates to the lattice geometry and is a modification to the electrostatic potential of an ion within an infinite lattice? ,Madelung constant,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE2
Earth and Space,Short Answer,"Type II-P supernovae undergo sil- icon burning right before becoming a supernova, and have peculiar light curves due to the radioactive decay of cobalt-56 to iron-56. Which isotope, which is the endpoint of the silicon burning process, does the cobalt in the star originate from? ",Nickel-56,Short Answer,"The cores of cannibalized dwarf galaxies are thought to stay gravitationally bound together, becoming what type of object in the larger galaxy? ",Globular cluster,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE2
Biology,Short Answer,"In grasses such as maizes, the scutellum is analogous to what seed organ in bean plants? ",Cotyledon,Short Answer,"What method, which is used to sequence amino acids in a peptide, reacts the N-terminus of the peptide with phenyl isothiocyanate ",Edman degradation,C:\Users\va648\PycharmProjects\ScibowlScrim-Backend\External Packets\Prometheus\Olympus DE2
