category,tossup_type,tossup_question,tossup_answer,bonus_type,bonus_question,bonus_answer,parent_packet
Biology,Short Answer,"By name or number, identify all the following three groups that utilize protonephridia: 1) Lancelets; 2) Tunicates; 3) Rotifers.",1 AND 3 VISUAL ,Short Answer,"Many compounds found within animals have similar analogs within plants. Looking at the following picture, give the plant hormone analogs identified by A, B, and C based on the corresponding animal signaling compound on the right.","A) JASMONATE, B) AUXIN (ACCEPT: IAA) C) BRASSINOSTEROID (ACCEPT: BRASSINOLIDE)",LOST
Math,Short Answer,Let What is the smallest integer value of for which is a positive integer? n f(f(n)),13 ,Short Answer,"Equiangular hexagon ABCDEF has sides AB = 6, BC = 5, CD = 4, and DE = 3. What is the area of this hexagon?",09 /4 1 √3,LOST
Physics,Short Answer,"A wave of light originally in a vacuum passes through a medium with a relative permeability of 60 and dielectric constant of 5. To two significant figures and in scientific notation, what is the new speed of light in the medium?",1.7x10​7 ,Short Answer,What is the ratio of the final momentum to initial momentum of a 3 kg mass if its velocity increases from 0.6c to 0.8c?,16/9,LOST
Earth and Space,Short Answer,What process is responsible for most of the heavy elements past iron within asymptotic giant branch stars?,S-PROCESS VISUAL ,Short Answer,"Depicted in the image is Sheep Mountain, a prominent plunging anticline. Answer the two questions concerning this mountain. I. Using the key to the right, what formation on Sheep Mountain is the oldest? II. Using the North signal in the upper right for orientation, what cardinal direction is the Sheep Mountain plunging towards?",1) MADISON; 2) NORTH,LOST
Energy,Multiple Choice,"Scientists from Argonne National Laboratory discovered that superfluids can merge via a corkscrew-like mechanism. Examples of superfluids include helium-3 and helium-4, which form superfluids below their lambda points. Which of the following explains the relationship between the lambda point of helium three and the lambda point of helium four? W) Helium three has a higher lambda point because it is fermionic X) Helium three has a higher lambda point because it is bosonic Y) Helium three has a lower lambda point because it is fermionic Z) Helium three has a lower lambda point because it is bosonic",Y) HELIUM THREE HAS A LOWER LAMBDA POINT BECAUSE IT IS FERMIONIC ,Short Answer,Scientists at Brookhaven National Laboratory are studying the role of the nitrogen cycle within ecosystems. What step within the nitrogen cycle directly converts ammonium back into atmospheric nitrogen?,ANAMMOX (ACCEPT: ANAEROBIC AMMONIUM OXIDATION) 3,LOST
Chemistry,Short Answer,Order the following three ligands in increasing trans effect: 1) NH3; 2) Cl-; 3) CN-.,"1, 2, 3 VISUAL ",Short Answer,"Shown in the image is a Frost diagram for various oxidation states of chromium, which describes the relative potentials of chromium compounds under different conditions. Answer the following two questions regarding the image: I. To the nearest volt, what is the standard reduction potential of Cr2+? II. Which of the 8 species shown in the diagram spontaneously disproportionate?",1. –1V; 2. Cr(IV) AND Cr(V),LOST
Earth and Space,Multiple Choice,Which of the following types of galaxies were fundamental in helping astronomers determine that the early universe contained more compact and more irregular galaxies? W) Starburst galaxies X) Ultra luminous infrared galaxies Y) Blue dwarf galaxies Z) Seyfert galaxies,Y) BLUE DWARF GALAXIES VISUAL ,Short Answer,Answer the following 3 questions concerning the picture shown: I. Give the name for each of the following types of partial melting with their respective number: 1) Decompression Melting; 2) Frictional Melting. 3) Flux Melting. II. Name the feature found at the letter ‘A’. III. Give the letter where one would most likely find MORBs.,I. a) 1 b) 3 c) 2; II. DIAPIR; III. B,LOST
Chemistry,Short Answer,Identify all of the following three rearrangements that proceed through carbene intermediates: 1) Wolff rearrangement; 2) Curtius rearrangement; 3) Hoffman rearrangement.,1 ONLY  VISUAL ,Short Answer,"Shown in the image are the mechanisms of three different pericyclic reactions. By number, identify all of the mechanisms shown that are thermally allowed.",2 AND 3,LOST
Energy,Short Answer,"Scientists at Princeton Plasma Physics Laboratory are studying the splitting of Mercury’s spectral lines by the Zeeman effect and the planet’s unique magnetic sphere. While this splitting can easily be seen by most spectrometers, a group of small shifts and splittings caused by nuclear magnetic dipole moments interacting with the magnetic field generated by the electrons can only be seen using interferometry. What is the name of this group of shifts?",HYPERFINE STRUCTURE VISUAL ,Multiple Choice,"Shown is the tandem mass spectrum of a polypeptide, with the mass to charge ratio of each peak listed above their respective peaks. Which of the following could be the sequence of the first three amino acid residues in the polypeptide? W) Tryptophan, leucine, isoleucine X) Cysteine, valine, proline Y) Alanine, methionine, tyrosine Z) Lysine, histidine, arginine","W) TRYPTOPHAN, LEUCINE, ISOLEUCINE 1",LOST
Physics,Multiple Choice,"Which of the following statements is false regarding systems at negative temperature? W) They have bounded phase spaces X) They are in thermal equilibrium Y) As heat is added, entropy decreases Z) They are colder than systems at positive temperature",Z) THEY ARE COLDER THAN SYSTEMS AT POSITIVE TEMPERATURE ,Short Answer,"An infinite number of resistors are placed in parallel. The first resistor has a resistance of 1 ohm, the second has a resistance of 3 ohms, the third has a 1 UKCHO + USABO Study Camp PTSD   resistance of 9 ohms, and so on, with each resistor having triple the resistance of the last. If 16 volts are applied across these resistors, how many amperes of current will flow?",24 AMPERES,LOST
Math,Short Answer,"If , compute (2) . f −1",4/3 ,Short Answer,"Let D be a point on side AB on equilateral triangle ABC such that AD = 3 and DB = 9. Determine the maximum possible length of segment DE, if E can be any point on the circumcircle of ABC.",√21 + 4√3,LOST
Biology,Short Answer,"What group of unmethylated DNA sequences does TLR9 detect that are commonly found within bacteria and viruses, but not animals?",CpG SITES (ACCEPT: CG)  ,Short Answer,What set of nonlinear differential equations are often used as approximations to model the prey predator relationships in nature?,LOTKA-VOLTERRA EQUATIONS,LOST
Earth and Space,Short Answer,Rank the following three orbits of a Schwarzschild black hole in increasing distance from the singularity: 1) ISCO; 2) Photon sphere; 3) Event horizon. ,"3, 2, 1 VISUAL ",Short Answer,"Shown in the image is the black hole in M87 compiled by the Event Horizon Telescope collaboration using radio telescopes via interferometry. Answer the following three questions concerning the black hole in this image: I. The brighter accretion disk on one side of the black hole compared to the other side is due to what phenomenon, occurring when relativistic doppler effects cause matter moving away to appear dimmer than matter moving towards an observer? II. The black hole in the image is mounting evidence for the impossibility of observing a naked singularity, postulated by what hypothesis? III. A: What classic theorem states that this black hole can be completely described by three properties and B: Name these three properties.","1) RELATIVISTIC BEAMING (ACCEPT: DOPPLER BEAMING, DOPPLER BOOSTING, OR THE HEADLIGHT EFFECT); 2) COSMIC CENSORSHIP HYPOTHESIS; 3) A: NO HAIR THEOREM; B) MASS, CHARGE, ANGULAR MOMENTUM",LOST
Chemistry,Multiple Choice,Which of the following correctly describes the cause of the 21 centimeter line in the hydrogen spectrum? W) An allowed spin flip from a singlet to a triplet state X) An allowed spin flip from a triplet to a singlet state Y) A forbidden spin flip from a singlet to a triplet state Z) A forbidden spin flip from a triplet to a singlet state,Z) A FORBIDDEN SPIN FLIP FROM A TRIPLET TO A SINGLET STATE ,Short Answer,A neutral vanadium based complex is created with three methyl ligands and a methylidene ligand. What is the overall electron count of the complex?,10,LOST
Energy,Short Answer,Scientists at the Pacific Northwest National Laboratory are studying biochemical metabolites by analyzing their collision cross-section when they are shot into gas. What group of lipid secondary metabolites formed by the condensation of acetyl-CoA are created by plants and fungi for the biosynthesis of compounds such as antimicrobials?,POLYKETIDES VISUAL ,Short Answer,"Scientists at the National Renewable Energy Laboratory are researching the use of molybdenum disulfide sheets that are modified with substituted phenyl rings to catalyze hydrogen evolution. The scientists found that the hammett rho values of the phenyl rings influenced the catalyst’s functionality. By number, identify all of the three reactions shown that display a negative hammett rho value.",2 AND 3,LOST
Physics,Short Answer,The measurement of the earth’s magnetic field by birds is a striking example of what effect of quantum mechanical systems in which the eigenstate of a particle may be arrested if measured frequently enough?,QUANTUM ZENO EFFECT VISUAL ,Short Answer,"Shown on the diagram is the Feynman diagram for a specific process. Answer the following two questions about this process. I. Identify both the particle labelled ‘A’ and the particle labelled ‘B’, respectively. II. The process shown violates a certain conserved quantity. What is this quantity?","1) A IS W- BOSON, B IS ELECTRON, 2) LEPTON NUMBER",LOST
Math,Short Answer,Find the greatest value of n such that 5n divides 1125 – 1.,3 ,Short Answer,Evaluate the double integral of y dA over the rectangular region x 2 defined by and . 0 ≤ x ≤ 2 0 ≤ y ≤ 1,⅔,LOST
Biology,Multiple Choice,The Janus kinase or JAK-STAT signaling pathway is mostly responsible for which of the following W) Detection of hypophysiotropic hormones in the anterior pituitary gland X) Activation of the immune system Y) Inhibition of neural growth Z) Monitoring lung interstitial pressure,X) ACTIVATION OF THE IMMUNE SYSTEM VISUAL ,Short Answer,"Shown in the image is the Wood-Ljungdahl pathway, an anabolic pathway within acetogens and methanogens that reduces carbon dioxide into acetyl-CoA. Answer the following three questions regarding this pathway: I. Based on the image, what is the electron donor in the first reduction of CO2 to CO? II. The acetyl-CoA produced in this pathway can be converted to succinate, and furthermore carbohydrates via what other anabolic pathway that proceeds in specialized peroxisomes not present within animals? III. Unlike the reverse Krebs cycle, instead of requiring CO2 and water, it requires CO2 and what reducing agent to initiate the cycle?",1) HYDROGEN; 2) GLYOXYLATE CYCLE; 3) HYDROGEN.,LOST
Earth and Space,Multiple Choice,Which of the following resonances causes the largest gap in asteroid concentration around Jupiter known as the Kirkwood gaps? W) 5:2 X) 5:3  Y) 3:2 Z) 2:1,Z) 2:1 ,Multiple Choice,"Which of the following is NOT correct about the kappa-mechanism in pulsating variable stars? W) The kappa-mechanism primarily occurs in a zone of partially ionized helium X) In cool stars, the zone of partially ionized helium is too deep in the envelope for rebound to occur Y) In non-pulsating stars, temperature and opacity typically have a negative relationship Z) Doubly ionized helium is less opaque than singly ionized helium",Z) DOUBLY IONIZED HELIUM IS LESS OPAQUE THAN SINGLY IONIZED HELIUM,LOST
Chemistry,Short Answer,Identify all of the following three statements that are true about azo coupling: 1) The diazonium salt must be activated for coupling to occur; 2) The HOMO of the reaction is the diazonium pi orbital; 3) The resulting configuration of the azo group is stereospecific.,NONE ,Short Answer,Identify all of the following three statements that are true about the anomeric effect in substituted cyclohexane derivatives: 1) Polar solvents help strengthen the anomeric effect; 2) It is caused by greater stabilization from overlap of the nonbonding heteroatom orbital with the carbon substituent sigma star orbital; 3) Sulfur displays a weaker anomeric effect than oxygen when used as a heteroatom in cyclohexane derivatives.,2 ONLY,LOST
Energy,Short Answer,"Scientists at Lawrence Berkeley National Lab have been detecting fermionic dark matter on the GeV scale via both the analysis of gravitational footprints and scattering experiments. They previously confirmed detection of certain astronomical bodies found in the spherical component of galaxies, that when passing in front of a star cause gravitational microlensing to occur. These astronomical bodies may explain the apparent detection of dark matter within rotation curves and is a leading dark matter candidate. What is the term for these astronomical objects?",MACHOs (ACCEPT: MASSIVE ASTROPHYSICAL COMPACT HALO OBJECT) ,Short Answer,Scientists at Pacific Northwest National Laboratory are studying the mechanisms of Parkinson’s disease and the resulting depletion of dopamine. One group of drugs used to treat Parkinson’s inhibit what enzyme responsible for the oxidation of dopamine in the brain?,MAO (ACCEPT: MONOAMINE OXIDASE),LOST
Physics,Short Answer,A stream of photons is directed at a charged particle resulting in the photons undergoing Compton scattering. A detector is placed at a certain angle away from the outgoing stream. Indicate all of the three following choices that would increase the wavelength shift: 1) Increasing detector angle; 2) Using a target with more mass; 3) Increasing the intensity of the photon stream.,1 ONLY ,Multiple Choice,Which of the following 2-dimensional electric fields would NOT have a well defined electric potential associated with it? W) (4x)i + (y)j X) 2i + (9y)j Y) (y)i - (x)j Z) (sin(y)cos(x))i + (sin(x)cos(y))j,Y) (y)​i​ - (x)​j,LOST
Math,Short Answer,"Regular tetrahedron ABCD has side length 1. A plane intersects the tetrahedron at the midpoints of edges AD, AC, BD, and BC. What is the area of the cross section formed by the plane and the tetrahedron?",¼  VISUAL ,Short Answer,"Show in the image is the graph of a two-valued function along a certain interval of its domain. The point marked in red is a saddle point of the function. Identify whether each of the following two values, when evaluated at the point marked in red, are positive, negative, or zero. I. The magnitude of the gradient. II. The determinant of the Hessian matrix.",1) ZERO; 2) NEGATIVE.,LOST
Biology,Short Answer,"Your friend Daniel walks into the room complaining of a headache. You sit him down and realize that while he does not move, his eyes are uncontrollably darting around as if his vestibular apparatus is being stimulated. What term is given to these uncontrollable movements?",NYSTAGMUS ,Short Answer,"Some people are born with situs inversus, the inversion of the body positions of the organs. They are often characterized by the lack of primary cilia, which is implicated in the migration of organs. What term is given to the disease characterized by this lack of cilia?",KARTAGENER’S DISEASE (ACCEPT: PRIMARY CILIARY DYSKINESIA AND IMMOTILE CILIARY SYNDROME) TOSS UP,LOST
Chemistry,Multiple Choice,"Tris(2,2'-bipyridyl) ruthenium (II) is a brightly colored orange compound, which is a versatile photochemical redox reagent. What type of transition metal electronic transition is most likely responsible for its color due to the low reduction potential of the ruthenium metal center? W) d to d transition X) Ligand-to-metal charge transfer Y) Metal-to-ligand charge transfer Z) π to π star transition",Y) METAL-TO-LIGAND CHARGE TRANSFER VISUAL ,Short Answer,"Shown in the image is a wavefunction of a 2-dimensional square potential well. Answer the following three questions regarding the image: I. How many nodal planes does this wavefunction possess? II. What are the values of the quantum numbers in the x and y directions, respectively? III. What is the probability of finding an electron at x and y coordinates where x < 0.5 and y < 0.5?","1) 6; 2) 4, 4; 3) ¼",LOST
Energy,Short Answer,"Scientists at Oak Ridge National Laboratory are studying macromolecular nanophase science. Rather than traditional mass spectrometry that allows the molecules themselves to absorb the energy of the laser source, they utilized an energy absorbing matrix to reduce fragmentation of biomolecules. What is this type of mass spectrometry called?","MALDI (ACCEPT: MALDI-TOF, MATRIX ASSISTED LASER DESORPTION/IONIZATION) ",Short Answer,"Researchers at Sandia National Laboratory studied various promising methods of hydrogen storage, including nickel metal hydrides. What is the average bond order of each nickel hydrogen bond in the tetrahedral complex NiH4 4-?",1/4,LOST
Physics,Short Answer,What interpretation of quantum mechanics results in the same effects as probabilistic interpretations yet suggests that an actual configuration of the particle and its guiding equation exists which evolves deterministically over time?,DE BROGLIE-BOHM INTERPRETATION (ACCEPT: PILOT WAVE) VISUAL ,Short Answer,"The diagram depicts a P-N junction. Answer the following three questions: I. The graphs A-C correspond to voltage, net charge density, electric field. Match each variable to its corresponding graph. II. Identify the region D. III. What is the term for the quasiparticle consisting of a combined electron and hole?","1) A IS CHARGE, B IS ELECTRIC FIELD, C IS VOLTAGE; 2) DEPLETION REGION (ACCEPT SPACE CHARGE REGION); 3) EXCITON.",LOST
Math,Short Answer,What is the sum of the magnitudes of the roots to the equation . x4 + x2 + 1 = 0,4 ,Short Answer,"There are six points in a plane, no four of which are collinear. A line is formed between every pair of points. What is the minimum number of distinct lines that can be formed?",7,LOST
Biology,Short Answer,Gastric inhibitory peptide belongs to what group of hormones that function to provide a feedforward for insulin secretion?,INCRETINS VISUAL ,Short Answer,Answer the following three questions about the image: I. What is the rate-limiting enzyme marked by 1? II. What general class of drugs inhibit enzyme 1? III. What is the compound marked by 2 from which all steroids and terpenes originate from?,1) HMG-CoA REDUCTASE; 2) STATINS; 3) MEVALONIC ACID (ACCEPT: MEVALONATE),LOST
Physics,Short Answer,"If a physical system is rotationally symmetric, then what conservation law must it exhibit according to Noether’s theorem?",CONSERVATION OF ANGULAR MOMENTUM ,Short Answer,What approximation method in quantum mechanics estimates the energy levels of a complicated system by expressing its Hamiltonian as a power series and taking the first few terms?,PERTURBATION THEORY,LOST
Biology,Short Answer,"Those with Urbach-Wiethe disease typically develop symmetrical calcification in what central portion of the limbic system, leading to reduced emotional responses?",AMYGDALA VISUAL ,Short Answer,"The image depicts linear electron flow during the light reaction of photosynthesis in a rose. Answer the following two questions regarding this image: I. What is the name of the electron carrier labeled A, which functions to shuttle electrons in both linear and cyclic electron flow and what transition metal is coordinated within the protein? II. What is the name of the reduced form of the pair of central chlorophyll molecules in photosystem II labeled B, which are amongst the most powerful of oxidizing agents in its oxidized?",1) PLASTOCYANIN AND COPPER; 2) P680 (DO NOT ACCEPT: P680+),LOST
Chemistry,Multiple Choice,Which of the following could not describe a normal mode in a centrosymmetric molecule? W) Both IR and raman active X) IR active but raman inactive Y) IR inactive but raman active Z) Both IR and raman inactive,W) BOTH IR AND RAMAN ACTIVE VISUAL ,Multiple Choice,"When methyl vinyl ketone is treated with a gilman reagent and analyzed using infrared spectroscopy, which of the four IR spectrums shown could be the product?",X,LOST
Math,Short Answer,The positive two digit integer AB has 12 divisors. How many divisors does the four digit integer ABAB have?,24 ,Short Answer,"Robert starts with the polynomial . Every second, f(x) = x2 + x + 1 he either adds or subtracts 1 from . What is the probability that after 2017 seconds, has a real f f root?",½,LOST
Earth and Space,Multiple Choice,Which of the following cannot produce an absorption spectra? W) Ionized hydrogen X) Singly ionized helium Y) Doubly ionized oxygen Z) Doubly ionized sulfur,W) IONIZED HYDROGEN ,Short Answer,"Displayed is a X-ray photo of the Bullet Cluster, taken by the Chandra Observatory in 2005 and remains one of the most studied clusters due to it providing evidence for the existence of dark matter. Answer the following three questions regarding the bullet cluster: I. What galactic event is occurring in the Bullet Cluster? II. The Bullet Cluster provides wide evidence for dark matter by disproving what theory that hypothesizes that gravity acts differently in low acceleration environments? III. The dark matter within the galaxies is mainly studied via what phenomena which can be measured via the distortion of light coming from behind the Bullet Cluster?",1) GALACTIC COLLISION (ACCEPT: GALACTIC CANNIBALISM); 2) MOND (ACCEPT: MODIFIED NEWTONIAN DYNAMICS); 3) GRAVITATIONAL LENSING.,LOST
Energy,Short Answer,"Scientists at Argonne National Labs have been using solid state fluorine 19 NMR spectroscopy to probe the structures of various materials. In trigonal bipyramidal molecules such as PF5 at low temperatures, two sets of signals are observed for axial and equatorial fluorine in the fluorine 19 NMR spectrum. However, at high temperatures both signals converge into one signal due to what vibrational effect?",BERRY PSUEDO-ROTATION ,Short Answer,"DOE researchers at Argonne National Labs have been studying the properties of the SARS-COV2 spike protein via the crystallization of different encoded proteins in the two reading frames, termed rep1a and rep1b. Depicted in the image is an image of the virus, along with labeled proteins. Answer the following two questions concerning SARS-COV2: I. What specific receptor does the spike protein attach to in order to enter cells? II. Which of the following is the genome of SARS-COV2? W) ssRNA X) ssDNA Y) dsRNA Z) dsDNA ",1) ACE II RECEPTOR; 2) W) SSRNA.,LOST
Physics,Multiple Choice,"A lamp sits near the earth emitting electromagnetic radiation of a certain wavelength. An observer rests 10 km above the lamp. When the observer sees the light, it is gravitationally redshifted by 1nm. If we repeat this experiment near the moon where the gravitational field is ⅙ that of earth and the observer now sits 20 km above the lamp, what is the new redshift? W) 0.1λ X) 0.3λ Y) λ Z) 2λ",X) 0.3λ ,Multiple Choice,The wavelength that a detector measures from a light source moving towards it is 500 nm. The light source is traveling ½ c in the detector’s reference frame. What is the proper wavelength emitted by the source?*** W) 500 nm X) 682 nm Y) 866 nm Z) 920 nm,Y) 866 NM,LOST
Biology,Short Answer,The plasmids of what bacterial species do scientists exploit to transfer foreign DNA into plant cultures?,AGROBACTERIUM TUMEFACIENS ,Short Answer,"By name or number, identify all the following three changes that would occur to a Lineweaver–Burk plot after you add an uncompetitive inhibitor: 1) Slope increases; 2) Y-intercept decreases; 3) X-intercept decreases.",3 ONLY,LOST
Chemistry,Multiple Choice,Which of the following protecting groups can not be removed under acidic conditions? W) Boc X) Fmoc Y) Acetals Z) Orthoesters,X) FMOC VISUAL ,Short Answer,"Shown is a catalytic cycle for an organometallic coupling reaction, with the intermediates labelled 1 through 4. Answer the following three questions: I. What is the general name of this class of coupling reactions? II. What mechanistic step is represented by the transformation of intermediate 3 to 4? III. What is the oxidation state of palladium in intermediate 3?",1) SUZUKI COUPLING; 2) TRANSMETALLATION; 3) +2,LOST
Math,Short Answer,"Compute the sum of the squares of the eigenvalues of the matrix with first row 4, –1, and second row 1, 1.",15 ,Short Answer,A positive integer is called an imposter if it can be expressed in the form where and are distinct non-negative integers. How many positive integers less 2a + 2b a b than 2020 are imposters? ,55,LOST
Earth and Space,Multiple Choice,Which of the following would best indicate a late-stage desert? W) Bajadas X) Ventifacts Y) Inselbergs Z) Desert pavement,Y) INSELBERGS ,Short Answer,Magnetic fields on the Sun and other G type stars demonstrate strong emission lines of what ionized element that scientists use to study magnetic fields on other Sun-like stars?,CALCIUM,LOST
Energy,Multiple Choice,Scientists at Brookhaven National Laboratory used the Sloan Digital Sky Survey to make detailed measurements of more than two million galaxies and quasars over 11 billion years of cosmic time. The survey confirmed once again the flat nature of the universe. Which of the following statements correctly describes the density of the universe for it to be flat? W) It is below the critical density X) It is above the critical density Y) It is at the critical density Z) It used to be below the critical density and is now above the critical density,Y) IT IS AT THE CRITICAL DENSITY ,Multiple Choice,Scientists at Lawrence Berkeley National Laboratory are developing mono and poly-cationic lipids called lipitoid to create synthetic vectors. Which of the following is not a benefit of using cationic lipitoid as vectors? W) Lipitoid micelles protect the plasmid DNA inside from degradation X) Lipitoid micelles are as small as most viruses Y) Lipitoids easily form complexes with DNA Z) Lipitoids are naturally degraded after DNA transfer has occurred,Z) LIPITOIDS ARE NATURALLY DEGRADED AFTER DNA TRANSFER HAS OCCURRED,LOST
Physics,Short Answer,What addition to Ampere’s law implied the existence of electromagnetic waves and involves the surface integral of a time varying electric field?,DISPLACEMENT CURRENT VISUAL ,Short Answer,"Shown in the diagram is an electrical circuit consisting of a voltage source, resistor, capacitors and inductors. Answer the following three questions about this circuit. I. At the resonant frequency, what quantity is maximized? II. Determine the resonant frequency of this circuit. III. If the amplitude of oscillation of the voltage across C1 is 10V, what is the energy contained in the circuit?",I) IMPEDANCE; 2) ¼; 3) 400J.,LOST
Biology,Multiple Choice,Which of the following groups of animals have an incomplete septum within the heart? W) Birds X) Frogs  Y) Alligators Z) Turtles,Z) TURTLES VISUAL ,Short Answer,"Shown in the image is the exocytosis of a vesicle containing acetylcholine at a neuromuscular junction. Answer the following three questions about the image: I. What is the name of the protein marked A? II. What are the SNARE protein subtypes that the purple and pink strands represent respectively? III. Give whether protein A, pink, or purple SNARE protein detects calcium ion influx to trigger vesicle fusion.","1) SYNAPTOTAGMIN; 2) PURPLE IS v-SNARE, PINK IS t-SNARE; 1) A",LOST
Chemistry,Short Answer,"Identify all of the following three substituents that, when substituted at the alpha carbon to a carbonyl group, will decrease the stretching band frequency of the carbonyl group: 1) Amino; 2) Chloro; 3) Carboxyl.",1 AND 3 ,Short Answer,"A sample of chlorobenzene is prepared such that the chlorinated carbon is radiolabeled by a carbon-14 isotope. The sample is reacted under high temperature and pressure with sodium hydroxide. The product is then isolated and analyzed. Identify all of the following three statements that are true: 1) In the 1H-NMR spectrum of the product, 5 distinct signals are produced; 2) In the product, 100% of the carbon-14 is found to be ortho to the original position; 3) The reaction proceeds through a mechanism involving a radical intermediate.",NONE,LOST
Math,Short Answer,"A function satisfies for all real and . If f (x ) f(x)f(y) f + y = 3 x y , what is ? (3) 8 f = 1 f(1)", (CUBE ROOT 3)√3 3 VISUAL ,Short Answer,"Depicted in the image are two circles, labeled ω1 and ω2, which intersect at points P and Q. A line is drawn through Q such that it intersects ω1 at R and ω2 at S. Given that angle PQS measures 60 degrees and the radius of ω1 is twice that of ω2, find the ratio of the lengths of segments PR to PS.",2:1,LOST
Earth and Space,Multiple Choice,Which of the following best describes the difference between adaptive optics and active optics? W) Adaptive optics correct for the Earth’s rotation while active optics correct for seeing X) Adaptive optics correct seeing while active optics correct for telescope defects Y) Adaptive optics correct for telescope defects while active optics correct for the Earth’s rotation Z) Adaptive optics correct the Earth’s rotation while active optics correct for proper motion,X) ADAPTIVE OPTICS CORRECT SEEING WHILE ACTIVE OPTICS CORRECT FOR TELESCOPE DEFECTS  VISUAL ,Short Answer,Shown in the image is a cross section of the Grand Canyon. Answer the following two questions regarding this image: I. The red circles highlight two unconformities. Give all the types of unconformities that S could be and R could be. II. Order F through K from youngest to oldest given that J is older than F,"I) S IS ANGULAR AND NONCONFORMITY; R IS DISCONFORMITY; II) G, H, I, F, J, K",LOST
Energy,Multiple Choice,"Scientists at the National Renewable Energy Laboratory are studying the composition of algae in pursuit of alternative fuels. In algae, what is the primary method of energy storage? W) Starch X) Glycogen Y) Triglyceride Z) Wax",Z) WAX ,Short Answer,"Scientists at Princeton Plasma Physics Laboratory are interested in diocotron instability because it can wreak havoc in plasma required for fusion reactions, reducing the efficiency of experiments. Diocotron instability occurs because of shear velocities that give rise to electron vortices. To what type of instability in fluid dynamics is diocotron instability most similar to?",KELVIN-HELMHOTZ INSTABILITY,LOST
Physics,Multiple Choice,Which of the following does NOT provide evidence for the particle nature of light? W) Photoelectric effect X) Compton scattering Y) Blackbody radiation Z) Malus's law,Z) MALUS'S LAW ,Short Answer,"A torsion pendulum with moment of inertia 28 kilogram meters squared is rotated through an angle of 0.3 radians. If the restoring torque is 21 newton meters, give the period of oscillations in seconds.",2π√(2/5),LOST
Biology,Short Answer,What glycoprotein secreted by the parietal cells of the stomach is required for the absorption of vitamin B12?,INTRINSIC FACTOR ,Short Answer,"By name or number, identify all the following three statements that are true about the immune system: 1) CD8+ cells can bind to MHC class I molecules; 2) Interleukin 2 is the main cytokine responsible for plasma cell and cytotoxic T cell proliferation; 3) IgD is the only membrane bound antibody.",ALL,LOST
Chemistry,Short Answer,Order the following three substituents in increasing activation of an aromatic ring towards electrophilic aromatic substitution: 1) Nitro; 2) Methoxy; 3) Acetyl.,"1, 3, 2  ",Short Answer,"By number, identify all of the following three statements that are true regarding carbenes: 1) Alpha-elimination produces singlet carbenes; 2) Carbenes undergo pericyclic reactions with alkenes; 3) Triplet carbenes have a smaller bond angle than singlet carbenes.",ALL,LOST
Math,Short Answer,"There are 4 houses on a street, with 2 on each side, and each house can be painted one of 5 different colors. Find the number of ways that the houses can be painted such that no two houses on the same side of the street are the same color and not all the houses are different colors.",280 ,Short Answer,Evaluate the definite integral depicted in the image.,π/4,LOST
Earth and Space,Multiple Choice,In which of the following Köppen climate designations would one most expect to experience collision-coalescence based rain? W) A X) B Y) C Z) D,W) A ,Short Answer,"By name or number, identify all the following three phenomena that are spiral tracers: 1) OB associations; 2) Emission nebula; 3) Planetary nebula.",1 AND 2,LOST
Energy,Multiple Choice,Researchers at SLAC use the Linac Coherent Light Source to image protein structures. Through which mechanism do free-electron lasers like the LCLS produce light? W) Synchrotron radiation X) Spontaneous emission Y) Electric dipole transitions Z) Optical pumping,W) SYNCHROTRON RADIATION ,Short Answer,"Scientists at Lawrence Livermore National Laboratory have recently discovered the protein lanmodulin, a naturally occurring solution to heavy metal 2 contamination that binds to rare earth elements. What protein analog in smooth muscles serve a similar function by binding to calcium ions to begin signalling cascades?",CALMODULIN,LOST
Physics,Short Answer,What principle in quantum mechanics can be reformed to state that short-lived states do not have definite energies?,HEISENBERG’S UNCERTAINTY PRINCIPLE ,Short Answer,"A frictionless Atwood machine with a massless pulley and string is constructed with two blocks of masses 2 and 3 kilograms. In SI base units, what is the downward acceleration of the 3 kilogram block to three significant figures?",1.96,LOST
Biology,Multiple Choice,Steroid hormones trigger cellular responses via the activation of which of the following? W) Adenylyl cyclase X) Guanylyl cyclase Y) Transcription factors Z) Protein kinase A,Y) TRANSCRIPTION FACTORS ,Short Answer,"By name or number, identify all the following three responses that would occur due to a sympathetic agonist: 1) Increased contractility; 2) Increased heart rate; 3) Dilated pupils",ALL,LOST
Chemistry,Short Answer,"What constant in the Arrhenius equation is used to relate the rate constant of a reaction to the activation energy of the reaction, and accounts for the frequency of collisions? ",PRE-EXPONENTIAL FACTOR (ACCEPT: ARRHENIUS CONSTANT) ,Short Answer,"The Ostwald process has an overall chemical equation 4NH3 + 5O2 → 4NO + 6H2O with all chemical species in the gas phase, and is heavily exothermic. Identify all of the following three changes to the system that would shift the Ostwald process towards the products: 1. Increasing the volume of the reaction vessel 2. Increasing the temperature of the reaction vessel 3. Adding helium to the reaction vessel at constant volume",1 ONLY,LOST
Math,Short Answer,"The four captains of LHS science bowl buy four different Rubik's cubes, and place them on a table. The Rubik’s cubes are then randomly distributed to the captains. What is the probability that no captain is given their own Rubik’s cube?",⅜  ,Short Answer,"A pyramid is constructed from unit cubes with a 5 by 5 unit base, a 3 by 3 unit second layer, and a 1 by 1 third layer. What is the surface area of the pyramid?",86,LOST
